21.06. 13:15 ,US Bougouni    ,2 ,1 ,Binga          ,3
21.06. 13:15 ,USC Kita       ,1 ,1 ,Real Bamako    ,2
21.06. 13:15 ,USFAS Bamako   ,2 ,0 ,CO Bamako      ,2
21.06. 13:15 ,Yeelen         ,0 ,2 ,AS Police      ,2
19.06. 13:15 ,Korofina       ,2 ,1 ,Black Stars    ,3
19.06. 13:15 ,LC Bamako      ,0 ,2 ,Djoliba        ,2
19.06. 13:15 ,Stade Malien   ,1 ,0 ,Onze Createurs ,1
17.06. 13:15 ,CO Bamako      ,0 ,1 ,Binga          ,1
17.06. 13:15 ,Foot Elite     ,0 ,1 ,Bakaridjan     ,1
17.06. 13:15 ,Real Bamako    ,1 ,0 ,AS Police      ,1
17.06. 13:15 ,USFAS Bamako   ,3 ,0 ,US Bougouni    ,3
17.06. 13:15 ,Yeelen         ,0 ,1 ,USC Kita       ,1
16.06. 13:15 ,Djoliba        ,1 ,2 ,Onze Createurs ,3
16.06. 13:15 ,LC Bamako      ,1 ,2 ,Stade Malien   ,3
13.06. 13:15 ,Bakaridjan     ,1 ,0 ,Djoliba        ,1
13.06. 13:15 ,Onze Createurs ,4 ,2 ,Korofina       ,6
13.06. 13:15 ,Stade Malien   ,0 ,0 ,Black Stars    ,0
13.06. 13:15 ,USFAS Bamako   ,1 ,1 ,Real Bamako    ,2
11.06. 13:15 ,LC Bamako      ,0 ,3 ,Foot Elite     ,3
11.06. 13:15 ,US Bougouni    ,2 ,1 ,AS Police      ,3
11.06. 13:15 ,USC Kita       ,2 ,1 ,CO Bamako      ,3
11.06. 13:15 ,Yeelen         ,0 ,2 ,Binga          ,2
08.06. 15:15 ,US Bougouni    ,3 ,0 ,Yeelen         ,3
08.06. 13:15 ,Foot Elite     ,1 ,1 ,Black Stars    ,2
08.06. 13:15 ,Real Bamako    ,0 ,1 ,CO Bamako      ,1
08.06. 13:15 ,USFAS Bamako   ,1 ,0 ,USC Kita       ,1
07.06. 13:15 ,AS Police      ,0 ,4 ,Binga          ,4
07.06. 13:15 ,Bakaridjan     ,1 ,0 ,Korofina       ,1
05.06. 13:15 ,US Bougouni    ,2 ,1 ,Foot Elite     ,3
04.06. 15:15 ,LC Bamako      ,0 ,0 ,AS Police      ,0
04.06. 13:15 ,Onze Createurs ,4 ,0 ,CO Bamako      ,4
04.06. 13:15 ,Stade Malien   ,1 ,2 ,Binga          ,3
04.06. 13:15 ,USFAS Bamako   ,0 ,0 ,Bakaridjan     ,0
04.06. 13:15 ,Yeelen         ,2 ,1 ,Black Stars    ,3
03.06. 13:15 ,Djoliba        ,0 ,0 ,Real Bamako    ,0
03.06. 13:15 ,USC Kita       ,2 ,0 ,Korofina       ,2
01.06. 15:15 ,LC Bamako      ,0 ,1 ,Yeelen         ,1
01.06. 13:15 ,Bakaridjan     ,1 ,0 ,CO Bamako      ,1
01.06. 13:15 ,Black Stars    ,0 ,0 ,AS Police      ,0
01.06. 13:15 ,Onze Createurs ,0 ,1 ,USFAS Bamako   ,1
01.06. 13:15 ,Stade Malien   ,0 ,0 ,US Bougouni    ,0
