06/1716:00 ,Jeunesse Sportive Soualem ,1 ,3 ,Hassania Agadir           ,4
06/1716:00 ,Olympique Khouribga       ,3 ,0 ,Moghreb Tetouan           ,3
06/1716:00 ,FUS Rabat                 ,2 ,1 ,Chabab Mohammedia         ,3
06/1716:00 ,Maghreb Fes               ,0 ,1 ,FAR Rabat                 ,1
06/1716:00 ,Berkane                   ,2 ,1 ,Union Touarga             ,3
06/1716:00 ,IR Tanger                 ,1 ,0 ,Difaa El Jadidi           ,1
06/1716:00 ,Mouloudia Oujda           ,0 ,0 ,Raja Casablanca           ,0
06/1716:00 ,Wydad Casablanca          ,3 ,1 ,Olympique de Safi         ,4
06/1416:00 ,Raja Casablanca           ,2 ,1 ,Berkane                   ,3
06/1416:00 ,Difaa El Jadidi           ,0 ,1 ,Mouloudia Oujda           ,1
06/1416:00 ,Union Touarga             ,2 ,2 ,IR Tanger                 ,4
06/1416:00 ,Olympique de Safi         ,0 ,1 ,FUS Rabat                 ,1
06/1416:00 ,Moghreb Tetouan           ,1 ,2 ,Jeunesse Sportive Soualem ,3
06/1416:00 ,SCCMohammédia             ,3 ,0 ,Maghreb Fes               ,3
06/1416:00 ,FAR Rabat                 ,1 ,0 ,Olympique Khouribga       ,1
06/1416:00 ,Hassania Agadir           ,0 ,0 ,Wydad Casablanca          ,0
05/2916:00 ,Wydad Casablanca          ,2 ,0 ,Moghreb Tetouan           ,2
05/2916:00 ,FUS Rabat                 ,0 ,2 ,FAR Rabat                 ,2
05/2116:00 ,Chabab Mohammedia         ,3 ,1 ,Jeunesse Sportive Soualem ,4
05/2116:00 ,Olympique Khouribga       ,1 ,1 ,Difaa El Jadidi           ,2
05/2116:00 ,Mouloudia Oujda           ,1 ,2 ,Berkane                   ,3
05/2116:00 ,IR Tanger                 ,0 ,0 ,Raja Casablanca           ,0
05/2016:00 ,Maghreb Fes               ,0 ,0 ,Union Touarga             ,0
05/2014:00 ,Olympique de Safi         ,1 ,1 ,Hassania Agadir           ,2
05/0617:30 ,FAR Rabat                 ,2 ,1 ,Jeunesse Sportive Soualem ,3
05/0617:30 ,Chabab Mohammedia         ,1 ,3 ,Wydad Casablanca          ,4
05/0615:15 ,Berkane                   ,1 ,1 ,Maghreb Fes               ,2
05/0613:00 ,Raja Casablanca           ,0 ,1 ,Olympique Khouribga       ,1
05/0517:30 ,Union Touarga             ,0 ,1 ,FUS Rabat                 ,1
05/0515:15 ,Mouloudia Oujda           ,0 ,0 ,IR Tanger                 ,0
05/0417:30 ,Difaa El Jadidi           ,2 ,2 ,Hassania Agadir           ,4
05/0415:15 ,Moghreb Tetouan           ,2 ,1 ,Olympique de Safi         ,3
05/0317:30 ,Maghreb Fes               ,2 ,1 ,Raja Casablanca           ,3
05/0315:15 ,Wydad Casablanca          ,1 ,1 ,FAR Rabat                 ,2
04/2019:00 ,Hassania Agadir           ,1 ,0 ,Moghreb Tetouan           ,1
04/2019:00 ,Olympique de Safi         ,0 ,0 ,Chabab Mohammedia         ,0
04/2019:00 ,Olympique Khouribga       ,1 ,1 ,Mouloudia Oujda           ,2
04/2019:00 ,IR Tanger                 ,2 ,1 ,Berkane                   ,3
04/1919:00 ,Jeunesse Sportive Soualem ,2 ,2 ,Union Touarga             ,4
04/1919:00 ,FUS Rabat                 ,5 ,0 ,Difaa El Jadidi           ,5
04/1619:00 ,IR Tanger                 ,3 ,0 ,Olympique Khouribga       ,3
04/1619:00 ,FAR Rabat                 ,2 ,1 ,Moghreb Tetouan           ,3
04/1619:00 ,Chabab Mohammedia         ,1 ,2 ,Hassania Agadir           ,3
04/1519:00 ,Raja Casablanca           ,0 ,0 ,Jeunesse Sportive Soualem ,0
04/1519:00 ,Union Touarga             ,1 ,2 ,Wydad Casablanca          ,3
04/1519:00 ,Berkane                   ,1 ,0 ,FUS Rabat                 ,1
04/1419:00 ,Difaa El Jadidi           ,0 ,1 ,Olympique de Safi         ,1
04/1419:00 ,Mouloudia Oujda           ,2 ,1 ,Maghreb Fes               ,3
04/0919:00 ,Moghreb Tetouan           ,1 ,0 ,Chabab Mohammedia         ,1
04/0919:00 ,Hassania Agadir           ,2 ,1 ,FAR Rabat                 ,3
