24.0621:00,Universitario de Vinto,1,2,Royal Pari,3
24.0616:00,Nacional Potosi,6,3,The Strongest,9
23.0620:00,Atletico Palmaflor,0,0,Tomayapo,0
23.0616:00,Vaca Diez,2,3,Aurora,5
11.0620:30,Oriente Petrolero,1,1,Libertad Gran Mamore,2
05.0616:00,Guabira,1,0,Universitario de Vinto,1
04.0620:30,Oriente Petrolero,2,0,Always Ready,2
04.0618:30,The Strongest,1,0,Wilstermann,1
04.0616:00,Santa Cruz,1,0,Independiente Petrolero,1
03.0621:00,Blooming,3,1,Vaca Diez,4
03.0618:30,Tomayapo,0,0,Bolivar,0
03.0616:00,Royal Pari,2,2,Nacional Potosi,4
02.0620:00,Aurora,5,0,Libertad Gran Mamore,5
31.0516:00,Atletico Palmaflor,0,2,Always Ready,2
29.0516:00,Vaca Diez,3,1,Oriente Petrolero,4
29.0516:00,Always Ready,2,0,The Strongest,2
28.0520:30,Universitario de Vinto,1,0,Santa Cruz,1
28.0518:30,Nacional Potosi,6,0,Guabira,6
27.0521:00,Independiente Petrolero,0,3,Tomayapo,3
27.0518:30,Wilstermann,0,0,Royal Pari,0
27.0516:00,Libertad Gran Mamore,2,1,Blooming,3
26.0521:00,Bolivar,5,1,Atletico Palmaflor,6
21.0520:30,Atletico Palmaflor,0,1,Independiente Petrolero,1
21.0516:00,Guabira,1,1,Wilstermann,2
21.0516:00,Blooming,2,1,Aurora,3
20.0521:00,The Strongest,4,1,Vaca Diez,5
20.0516:00,Royal Pari,1,2,Always Ready,3
19.0521:00,Tomayapo,0,2,Universitario de Vinto,2
19.0516:00,Santa Cruz,2,0,Nacional Potosi,2
15.0516:00,Always Ready,3,0,Guabira,3
14.0520:30,Aurora,2,2,Oriente Petrolero,4
14.0518:30,Independiente Petrolero,2,1,Bolivar,3
14.0516:00,Libertad Gran Mamore,1,0,The Strongest,1
13.0520:00,Wilstermann,1,0,Santa Cruz,1
13.0516:00,Vaca Diez,1,1,Royal Pari,2
12.0521:00,Nacional Potosi,3,1,Tomayapo,4
12.0519:00,Universitario de Vinto,0,1,Atletico Palmaflor,1
10.0521:00,Oriente Petrolero,0,1,Santa Cruz,1
10.0518:30,The Strongest,1,0,Guabira,1
10.0516:00,Vaca Diez,1,1,Always Ready,2
08.0520:00,Bolivar,1,1,Universitario de Vinto,2
07.0521:00,Oriente Petrolero,1,1,Blooming,2
07.0518:30,Atletico Palmaflor,0,1,Nacional Potosi,1
07.0516:00,The Strongest,2,2,Aurora,4
06.0521:00,Royal Pari,2,0,Libertad Gran Mamore,2
06.0518:30,Tomayapo,0,0,Wilstermann,0
06.0516:00,Santa Cruz,2,1,Always Ready,3
05.0520:00,Guabira,2,2,Vaca Diez,4
02.0516:00,Always Ready,1,1,Tomayapo,2
01.0516:00,Libertad Gran Mamore,0,1,Guabira,1
30.0420:30,Wilstermann,4,0,Atletico Palmaflor,4
30.0418:30,Nacional Potosi,3,2,Bolivar,5
30.0416:00,Vaca Diez,2,1,Santa Cruz,3
29.0421:00,Aurora,3,0,Royal Pari,3
28.0421:00,Blooming,1,3,The Strongest,4
28.0416:00,Universitario de Vinto,0,1,Independiente Petrolero,1
23.0420:30,Tomayapo,3,2,Vaca Diez,5
23.0418:30,Bolivar,1,3,Wilstermann,4
23.0416:00,Santa Cruz,3,2,Libertad Gran Mamore,5
22.0421:00,The Strongest,0,0,Oriente Petrolero,0
22.0418:30,Guabira,1,0,Aurora,1
21.0421:00,Royal Pari,1,2,Blooming,3
21.0419:00,Independiente Petrolero,0,1,Nacional Potosi,1
