27.0620:00,Botafogo PB,3,2,Paysandu PA,5
26.0620:00,Operario,1,0,Aparecidense,1
25.0619:00,EC Sao Jose,2,2,Sao Bernardo,4
25.0616:30,Volta Redonda,2,1,Ypiranga FC,3
25.0616:00,AR Altos,0,0,Pouso Alegre,0
24.0617:00,Brusque,2,0,Floresta EC,2
24.0616:30,Remo,1,1,Figueirense,2
24.0616:00,Manaus,3,3,Confianca,6
20.0620:00,CSA,1,1,Aparecidense,2
19.0621:30,Sao Bernardo,0,3,Volta Redonda,3
19.0620:00,Botafogo PB,1,1,Nautico,2
18.0619:00,Paysandu PA,2,1,Floresta EC,3
18.0616:30,Ypiranga FC,0,2,Operario,2
18.0616:00,Manaus,1,4,EC Sao Jose,5
17.0619:00,Brusque,0,1,Figueirense,1
17.0616:30,Pouso Alegre,0,2,Remo,2
17.0616:00,America RN,0,1,Confianca,1
17.0616:00,AR Altos,2,3,Amazonas,5
12.0621:30,Confianca,2,2,Nautico,4
12.0620:00,Figueirense,1,2,Pouso Alegre,3
12.0620:00,Paysandu PA,1,1,Sao Bernardo,2
11.0619:00,Floresta EC,0,0,AR Altos,0
11.0619:00,Ypiranga FC,1,0,EC Sao Jose,1
11.0619:00,America RN,2,1,Brusque,3
11.0616:30,Aparecidense,0,2,Remo,2
11.0616:30,Operario,1,0,CSA,1
11.0616:00,Amazonas,2,0,Manaus,2
10.0619:00,Volta Redonda,1,0,Botafogo PB,1
08.0621:30,Figueirense,2,0,Ypiranga FC,2
08.0620:00,CSA,2,1,Manaus,3
08.0619:00,Aparecidense,0,2,Brusque,2
08.0618:30,Floresta EC,2,0,Sao Bernardo,2
08.0616:30,Remo,0,0,America RN,0
07.0621:30,EC Sao Jose,4,1,AR Altos,5
07.0619:00,Operario,0,0,Paysandu PA,0
07.0618:00,Pouso Alegre,1,1,Confianca,2
07.0616:00,Amazonas,0,0,Botafogo PB,0
06.0620:00,Nautico,2,0,Volta Redonda,2
05.0620:00,Sao Bernardo,1,0,Figueirense,1
04.0619:00,Confianca,2,3,Amazonas,5
04.0619:00,Ypiranga FC,0,1,Aparecidense,1
04.0616:30,Paysandu PA,1,1,EC Sao Jose,2
04.0616:30,Botafogo PB,1,1,Floresta EC,2
03.0619:00,Brusque,1,1,Remo,2
03.0616:30,Pouso Alegre,0,1,Nautico,1
03.0616:00,AR Altos,1,1,CSA,2
03.0616:00,Manaus,1,0,Volta Redonda,1
02.0620:00,America RN,1,0,Operario,1
30.0520:00,Remo,1,0,Confianca,1
29.0520:00,Floresta EC,1,1,Amazonas,2
