15.0713:30,Colo Colo,2,0,O'Higgins,2
14.0718:00,Cobresal,2,0,Huachipato,2
12.0720:00,Coquimbo,1,0,Curico Unido,1
09.0719:00,O'Higgins,1,2,Magallanes,3
08.0721:00,Union La Calera,1,1,Cobresal,2
08.0718:30,Universidad Catolica,0,1,Everton,1
08.0713:30,Huachipato,1,2,Universidad de Chile,3
07.0719:00,Audax Italiano,0,3,Palestino,3
06.0720:00,Nublense,0,1,Union Espanola,1
03.0713:00,Huachipato,1,1,Magallanes,2
21.0518:30,Cobresal,0,0,Union Espanola,0
20.0521:00,Universidad Catolica,1,1,Union La Calera,2
20.0518:30,Everton,2,1,Copiapo,3
20.0516:00,Nublense,1,1,Universidad de Chile,2
19.0521:30,Coquimbo,1,0,Magallanes,1
19.0519:00,Audax Italiano,1,0,Huachipato,1
19.0516:30,Palestino,0,1,O'Higgins,1
18.0521:00,Colo Colo,0,1,Curico Unido,1
15.0521:30,O'Higgins,1,1,Everton,2
15.0519:00,Universidad de Chile,0,0,Cobresal,0
14.0521:00,Curico Unido,0,1,Palestino,1
14.0518:30,Copiapo,1,4,Universidad Catolica,5
14.0516:00,Union La Calera,1,2,Coquimbo,3
14.0513:30,Huachipato,2,0,Nublense,2
13.0519:00,Union Espanola,1,1,Colo Colo,2
13.0516:30,Magallanes,1,2,Audax Italiano,3
11.0521:30,Everton,2,2,Palestino,4
10.0521:30,Universidad Catolica,1,2,Huachipato,3
10.0519:00,Coquimbo,2,1,Universidad de Chile,3
10.0519:00,Cobresal,1,0,O'Higgins,1
09.0521:30,Colo Colo,2,1,Audax Italiano,3
09.0519:00,Union Espanola,3,2,Union La Calera,5
09.0519:00,Nublense,1,0,Copiapo,1
09.0516:30,Magallanes,1,2,Curico Unido,3
30.0421:30,Copiapo,1,0,Coquimbo,1
30.0419:00,O'Higgins,1,1,Union Espanola,2
29.0421:00,Audax Italiano,1,0,Cobresal,1
29.0418:30,Curico Unido,2,3,Everton,5
29.0413:30,Palestino,1,2,Nublense,3
28.0419:00,Union La Calera,0,0,Colo Colo,0
24.0421:30,Nublense,2,5,Audax Italiano,7
23.0421:00,Union Espanola,2,0,Coquimbo,2
23.0418:30,Colo Colo,3,1,Palestino,4
23.0416:00,Magallanes,0,2,Copiapo,2
23.0416:00,Cobresal,2,0,Curico Unido,2
22.0421:00,Universidad Catolica,0,1,O'Higgins,1
22.0418:30,Everton,1,2,Universidad de Chile,3
22.0416:00,Huachipato,2,3,Union La Calera,5
17.0421:30,Curico Unido,0,1,Union Espanola,1
16.0421:30,Union La Calera,0,1,O'Higgins,1
16.0416:30,Audax Italiano,1,2,Universidad de Chile,3
15.0421:30,Copiapo,1,1,Huachipato,2
15.0416:00,Universidad Catolica,0,0,Colo Colo,0
14.0421:30,Everton,2,0,Magallanes,2
14.0416:30,Palestino,1,5,Cobresal,6
05.0420:00,Huachipato,1,0,Union Espanola,1
01.0417:30,Palestino,3,2,Magallanes,5
01.0412:00,Huachipato,0,1,Colo Colo,1
31.0319:00,Nublense,2,1,O'Higgins,3
19.0320:30,Magallanes,1,1,Universidad Catolica,2
19.0320:30,Union Espanola,2,0,Palestino,2
19.0318:00,Universidad de Chile,0,0,Copiapo,0
18.0320:30,Union La Calera,0,0,Audax Italiano,0
18.0318:00,Cobresal,3,1,Colo Colo,4
18.0318:00,O'Higgins,0,2,Coquimbo,2
18.0312:00,Huachipato,3,0,Everton,3
17.0319:00,Nublense,1,2,Curico Unido,3
13.0320:30,Coquimbo,2,1,Cobresal,3
13.0320:30,Audax Italiano,2,2,O'Higgins,4
12.0318:00,Colo Colo,0,0,Universidad de Chile,0
12.0312:00,Universidad Catolica,2,2,Union Espanola,4
11.0320:30,Curico Unido,1,3,Huachipato,4
11.0312:00,Everton,1,0,Nublense,1
10.0320:30,Copiapo,0,0,Union La Calera,0
05.0320:30,Cobresal,3,2,Everton,5
04.0320:30,Union Espanola,3,0,Copiapo,3
04.0318:00,O'Higgins,2,2,Curico Unido,4
03.0320:30,Nublense,1,2,Universidad Catolica,3
03.0318:00,Coquimbo,3,1,Audax Italiano,4
03.0318:00,Palestino,2,1,Huachipato,3
02.0320:30,Universidad de Chile,1,1,Union La Calera,2
27.0220:30,Everton,3,1,Audax Italiano,4
27.0220:30,Copiapo,2,2,O'Higgins,4
26.0220:30,Colo Colo,2,3,Coquimbo,5
26.0218:00,Magallanes,2,1,Cobresal,3
26.0218:00,Union La Calera,1,1,Nublense,2
25.0220:15,Universidad Catolica,5,2,Palestino,7
24.0220:00,Curico Unido,1,3,Universidad de Chile,4
20.0218:00,Palestino,1,1,Union La Calera,2
19.0220:30,Colo Colo,1,1,Everton,2
19.0218:00,O'Higgins,0,1,Universidad de Chile,1
18.0220:30,Audax Italiano,1,2,Universidad Catolica,3
18.0218:00,Cobresal,1,1,Nublense,2
18.0211:00,Coquimbo,1,2,Huachipato,3
16.0220:30,Curico Unido,1,2,Copiapo,3
13.0220:00,Colo Colo,1,0,Nublense,1
12.0219:00,Universidad Catolica,3,3,Cobresal,6
11.0220:30,Everton,2,0,Coquimbo,2
