06/1820:00,Barcelona,1,2,Universidad Catolica,3
06/1817:30,Deportivo Cuenca,3,2,Emelec,5
06/1720:00,Mushuc Runa,2,2,LDU Quito,4
06/1717:30,Gualaceo,2,1,Guayaquil City,3
06/1715:00,Cumbaya,2,1,Libertad,3
06/1621:00,Independiente del Valle,3,4,El Nacional,7
06/1221:00,Emelec,0,0,Gualaceo,0
06/1120:00,Orense,0,2,Independiente del Valle,2
06/1117:30,Guayaquil City,1,2,Barcelona,3
06/1115:00,Delfin,2,0,Aucas,2
06/1020:00,El Nacional,3,1,Deportivo Cuenca,4
06/1017:30,LDU Quito,0,0,Cumbaya,0
06/1015:00,Libertad,1,0,Tecnico Universitario,1
06/0921:00,Universidad Catolica,3,2,Mushuc Runa,5
06/0521:00,Deportivo Cuenca,4,0,Delfin,4
06/0420:00,Gualaceo,3,4,El Nacional,7
06/0417:30,Tecnico Universitario,3,0,Guayaquil City,3
06/0415:00,Cumbaya,0,1,Universidad Catolica,1
06/0320:00,Barcelona,1,3,Emelec,4
06/0317:00,Mushuc Runa,3,1,Orense,4
06/0221:30,LDU Quito,4,2,Libertad,6
06/0219:00,Independiente del Valle,2,0,Aucas,2
05/2921:00,Emelec,0,0,Guayaquil City,0
05/2820:00,El Nacional,4,1,Barcelona,5
05/2817:30,Independiente del Valle,2,3,LDU Quito,5
05/2815:00,Aucas,0,2,Deportivo Cuenca,2
05/2720:00,Delfin,1,0,Gualaceo,1
05/2717:30,Orense,1,0,Cumbaya,1
05/2715:00,Tecnico Universitario,1,0,Mushuc Runa,1
05/2621:00,Libertad,2,2,Universidad Catolica,4
05/2120:00,Guayaquil City,3,1,El Nacional,4
05/2117:30,Cumbaya,0,1,Delfin,1
05/2115:00,Gualaceo,1,1,Libertad,2
05/2020:00,Universidad Catolica,3,2,Emelec,5
05/2017:30,Deportivo Cuenca,1,2,Independiente del Valle,3
05/2015:00,Mushuc Runa,0,0,Aucas,0
05/1922:00,Barcelona,2,0,Orense,2
05/1919:30,LDU Quito,2,1,Tecnico Universitario,3
05/1521:00,Tecnico Universitario,0,0,Cumbaya,0
05/1420:00,Emelec,1,1,LDU Quito,2
05/1417:30,Independiente del Valle,4,0,Guayaquil City,4
05/1415:00,Delfin,0,0,Universidad Catolica,0
05/1320:00,Libertad,2,2,Barcelona,4
05/1317:30,Aucas,1,0,Gualaceo,1
05/1315:00,El Nacional,3,1,Orense,4
05/1221:00,Deportivo Cuenca,3,0,Mushuc Runa,3
05/0821:00,LDU Quito,1,1,Delfin,2
05/0720:00,Barcelona,5,1,Aucas,6
05/0717:30,Cumbaya,0,0,Emelec,0
05/0715:00,Mushuc Runa,0,1,El Nacional,1
05/0620:00,Gualaceo,1,2,Independiente del Valle,3
05/0617:30,Guayaquil City,1,1,Libertad,2
05/0615:00,Universidad Catolica,1,0,Deportivo Cuenca,1
05/0521:00,Orense,2,1,Tecnico Universitario,3
04/3020:00,Delfin,2,0,El Nacional,2
04/3017:30,Libertad,0,0,Orense,0
04/3015:00,Cumbaya,1,1,Mushuc Runa,2
04/2920:00,Tecnico Universitario,2,2,Barcelona,4
04/2917:30,Universidad Catolica,0,4,LDU Quito,4
04/2915:00,Deportivo Cuenca,1,2,Gualaceo,3
04/2822:00,Emelec,2,3,Independiente del Valle,5
04/2819:30,Aucas,1,0,Guayaquil City,1
04/2421:00,Aucas,2,1,Cumbaya,3
04/2320:00,Mushuc Runa,0,0,Emelec,0
04/2317:30,Barcelona,2,1,Deportivo Cuenca,3
04/2315:00,El Nacional,4,2,Libertad,6
04/2220:00,Orense,2,1,LDU Quito,3
04/2217:30,Independiente del Valle,1,0,Tecnico Universitario,1
04/2215:00,Gualaceo,1,0,Universidad Catolica,1
04/2121:00,Guayaquil City,2,1,Delfin,3
04/1721:00,Universidad Catolica,1,1,Orense,2
04/1714:00,Emelec,1,2,El Nacional,3
04/1617:30,Delfin,3,0,Mushuc Runa,3
04/1615:00,Cumbaya,1,0,Gualaceo,1
04/1520:00,LDU Quito,0,1,Barcelona,1
04/1517:00,Deportivo Cuenca,4,1,Guayaquil City,5
04/1514:30,Tecnico Universitario,0,1,Aucas,1
04/1421:00,Libertad,0,0,Independiente del Valle,0
04/1021:00,Barcelona,4,1,Cumbaya,5
04/0920:00,Aucas,2,1,Emelec,3
04/0917:30,Guayaquil City,1,2,LDU Quito,3
04/0915:00,Mushuc Runa,2,1,Libertad,3
04/0820:00,Independiente del Valle,3,0,Delfin,3
04/0817:30,El Nacional,1,2,Universidad Catolica,3
04/0815:00,Gualaceo,1,1,Tecnico Universitario,2
04/0721:00,Orense,2,0,Deportivo Cuenca,2
04/0221:00,Orense,3,2,Guayaquil City,5
04/0218:30,Cumbaya,2,0,El Nacional,2
04/0216:00,Tecnico Universitario,3,0,Deportivo Cuenca,3
04/0121:00,Delfin,3,2,Emelec,5
04/0118:30,Barcelona,1,0,Mushuc Runa,1
04/0116:00,Libertad,2,2,Aucas,4
03/3122:00,LDU Quito,6,1,Gualaceo,7
03/3119:30,Universidad Catolica,2,3,Independiente del Valle,5
03/2021:00,Deportivo Cuenca,1,0,Cumbaya,1
03/1921:00,Emelec,1,0,Tecnico Universitario,1
03/1918:30,El Nacional,0,2,LDU Quito,2
03/1916:00,Aucas,4,1,Universidad Catolica,5
03/1821:00,Independiente del Valle,1,0,Barcelona,1
03/1818:30,Guayaquil City,4,1,Mushuc Runa,5
03/1816:00,Delfin,3,2,Libertad,5
03/1721:00,Gualaceo,2,1,Orense,3
03/0621:00,Cumbaya,1,0,Independiente del Valle,1
03/0521:00,Orense,2,1,Emelec,3
03/0518:30,Universidad Catolica,3,0,Guayaquil City,3
03/0516:00,Mushuc Runa,2,1,Gualaceo,3
03/0421:00,Barcelona,5,0,Delfin,5
03/0418:30,LDU Quito,1,1,Aucas,2
03/0416:00,El Nacional,3,2,Tecnico Universitario,5
03/0321:00,Libertad,3,1,Deportivo Cuenca,4
02/2721:00,Delfin,1,1,Orense,2
02/2621:00,Emelec,2,0,Libertad,2
02/2618:30,Aucas,0,2,El Nacional,2
02/2616:00,Tecnico Universitario,4,1,Universidad Catolica,5
02/2521:00,Gualaceo,2,1,Barcelona,3
02/2518:30,Guayaquil City,1,1,Cumbaya,2
02/2516:00,Independiente del Valle,3,1,Mushuc Runa,4
02/2421:00,Deportivo Cuenca,2,0,LDU Quito,2
11/1320:00,Aucas,0,0,Barcelona,0
11/0618:00,Barcelona,0,1,Aucas,1
10/2320:00,Guayaquil City,1,1,Orense,2
10/2320:00,Delfin,2,1,Universidad Catolica,3
10/2320:00,Aucas,3,0,Gualaceo,3
10/2317:30,Independiente del Valle,1,0,9 de Octubre,1
10/2220:00,Cumbaya,1,1,Barcelona,2
10/2217:30,Emelec,3,1,Tecnico Universitario,4
10/2215:00,Macara,0,5,LDU Quito,5
10/2121:00,Deportivo Cuenca,3,1,Mushuc Runa,4
10/1721:00,Tecnico Universitario,3,1,Macara,4
10/1721:00,9 de Octubre,0,1,Cumbaya,1
10/1620:00,UniversidadCatólica,2,0,Emelec,2
10/1620:00,Mushuc Runa,0,1,Independiente del Valle,1
10/1620:00,Barcelona,0,2,Aucas,2
10/1520:00,Orense,1,0,Deportivo Cuenca,1
10/1520:00,LDU Quito,2,0,Guayaquil City,2
10/1520:00,Gualaceo,2,1,Delfin,3
10/1021:00,Independiente del Valle,0,1,Tecnico Universitario,1
10/0920:00,Emelec,0,0,Orense,0
10/0917:30,Aucas,0,0,Mushuc Runa,0
10/0915:00,Guayaquil City,1,0,Gualaceo,1
10/0820:00,Deportivo Cuenca,2,1,Barcelona,3
10/0817:30,Macara,3,1,9 de Octubre,4
10/0815:00,Cumbaya,0,0,Universidad Catolica,0
10/0721:00,Delfin,3,0,LDU Quito,3
10/0321:00,Tecnico Universitario,1,0,Deportivo Cuenca,1
10/0220:00,Barcelona,1,1,Guayaquil City,2
10/0217:30,Cumbaya,0,0,Aucas,0
10/0215:00,Orense,1,1,Delfin,2
10/0122:00,Mushuc Runa,0,0,Emelec,0
10/0119:45,9 de Octubre,2,2,LDU Quito,4
09/3021:00,Gualaceo,0,1,Universidad Catolica,1
09/2520:00,Emelec,3,1,Deportivo Cuenca,4
09/2517:30,Delfin,0,0,Mushuc Runa,0
09/2421:00,Independiente del Valle,1,0,Macara,1
09/2418:30,Universidad Catolica,3,0,9 de Octubre,3
09/1921:00,Guayaquil City,4,1,Mushuc Runa,5
09/1914:00,Emelec,1,3,Barcelona,4
09/1817:30,Aucas,5,2,Tecnico Universitario,7
09/1815:00,Universidad Catolica,2,0,Orense,2
09/1720:00,LDU Quito,2,2,Independiente del Valle,4
09/1717:30,Delfin,3,1,9 de Octubre,4
09/1715:00,Macara,1,1,Gualaceo,2
09/1621:00,Deportivo Cuenca,1,1,Cumbaya,2
09/1221:00,Tecnico Universitario,1,1,Universidad Catolica,2
09/1121:00,9 de Octubre,1,0,Deportivo Cuenca,1
09/1118:30,Aucas,1,1,Emelec,2
09/1116:00,Independiente del Valle,2,0,Delfin,2
09/1021:00,Barcelona,5,3,Macara,8
09/1018:30,Cumbaya,3,0,Guayaquil City,3
09/1016:00,Orense,4,1,Gualaceo,5
09/0921:00,Mushuc Runa,1,2,LDU Quito,3
09/0521:00,Delfin,0,0,Tecnico Universitario,0
09/0421:00,Universidad Catolica,1,2,Aucas,3
09/0418:30,LDU Quito,1,2,Orense,3
09/0416:00,Macara,3,0,Mushuc Runa,3
09/0321:00,Gualaceo,2,1,Barcelona,3
09/0318:30,Guayaquil City,1,1,9 de Octubre,2
09/0316:00,Deportivo Cuenca,2,1,Independiente del Valle,3
09/0221:00,Emelec,1,0,Cumbaya,1
08/2921:00,Tecnico Universitario,2,0,Orense,2
08/2821:00,Barcelona,1,1,LDU Quito,2
08/2818:30,Independiente del Valle,1,2,Universidad Catolica,3
08/2816:00,Mushuc Runa,2,0,Gualaceo,2
08/2722:00,9 de Octubre,0,3,Emelec,3
08/2719:30,Aucas,2,1,Guayaquil City,3
08/2717:00,Cumbaya,2,1,Delfin,3
08/2621:00,Deportivo Cuenca,1,1,Macara,2
08/2221:00,Guayaquil City,0,1,Independiente del Valle,1
08/2022:00,Macara,1,1,Aucas,2
08/2019:30,LDU Quito,1,0,Cumbaya,1
08/2017:00,Orense,1,2,Barcelona,3
08/1921:00,Gualaceo,0,3,Tecnico Universitario,3
08/1521:00,Deportivo Cuenca,3,2,Delfin,5
08/1420:00,LDU Quito,2,0,Emelec,2
08/1417:30,Tecnico Universitario,3,1,Guayaquil City,4
08/1415:00,Cumbaya,1,0,Macara,1
08/1322:00,Barcelona,0,0,Universidad Catolica,0
08/1319:30,9 de Octubre,1,2,Aucas,3
08/1317:00,Independiente del Valle,2,0,Gualaceo,2
08/1221:00,Mushuc Runa,1,1,Orense,2
08/0821:00,Gualaceo,1,0,9 de Octubre,1
08/0721:00,Barcelona,4,1,Mushuc Runa,5
08/0718:30,Universidad Catolica,0,2,Deportivo Cuenca,2
08/0716:00,Aucas,1,1,LDU Quito,2
08/0622:00,Delfin,0,3,Emelec,3
08/0619:30,Guayaquil City,0,0,Macara,0
08/0617:00,Orense,1,2,Independiente del Valle,3
08/0521:00,Tecnico Universitario,3,3,Cumbaya,6
08/0121:00,9 de Octubre,0,0,Orense,0
07/3121:00,Emelec,2,1,Gualaceo,3
07/3118:30,Macara,1,3,Universidad Catolica,4
07/3116:00,Cumbaya,1,1,Mushuc Runa,2
07/3022:00,Independiente del Valle,1,1,Barcelona,2
07/3019:30,LDU Quito,2,0,Tecnico Universitario,2
07/3017:00,Delfin,1,3,Guayaquil City,4
07/2921:00,Deportivo Cuenca,1,2,Aucas,3
07/2521:00,Macara,1,2,Delfin,3
07/2421:00,Barcelona,2,2,9 de Octubre,4
07/2418:30,Universidad Catolica,4,0,LDU Quito,4
07/2416:00,Mushuc Runa,0,0,Tecnico Universitario,0
07/2322:00,Guayaquil City,0,0,Emelec,0
07/2319:30,Aucas,5,0,Independiente del Valle,5
07/2317:00,Orense,3,1,Cumbaya,4
07/2221:00,Gualaceo,0,0,Deportivo Cuenca,0
07/1821:00,Delfin,0,0,Aucas,0
07/1721:00,Emelec,2,3,Independiente del Valle,5
07/1718:30,Guayaquil City,2,0,Universidad Catolica,2
07/1716:00,Mushuc Runa,3,1,9 de Octubre,4
07/1622:00,Tecnico Universitario,0,2,Barcelona,2
07/1619:30,LDU Quito,1,1,Deportivo Cuenca,2
07/1617:00,Orense,1,1,Macara,2
07/1521:00,Cumbaya,1,2,Gualaceo,3
07/1121:00,Deportivo Cuenca,1,0,Guayaquil City,1
07/1021:00,Barcelona,0,1,Delfin,1
07/1018:30,Macara,1,3,Emelec,4
07/1016:00,Independiente del Valle,2,0,Cumbaya,2
07/0922:00,Gualaceo,0,1,LDU Quito,1
07/0919:30,9 de Octubre,2,0,Tecnico Universitario,2
07/0917:00,Aucas,2,0,Orense,2
07/0821:00,Universidad Catolica,2,1,Mushuc Runa,3
29,LDU Quito,3,2,Macara,5
29,Universidad Catolica,4,2,Delfin,6
29,9 de Octubre,1,1,Independiente del Valle,2
29,Barcelona,4,0,Cumbaya,4
28,Tecnico Universitario,1,1,Emelec,2
28,Orense,0,1,Guayaquil City,1
28,Mushuc Runa,1,0,Deportivo Cuenca,1
27,Gualaceo,1,4,Aucas,5
23,Deportivo Cuenca,1,1,Orense,2
22,Independiente del Valle,0,1,Mushuc Runa,1
