06/2321:00,New England Revolution II,5,3,Toronto FC II,8
06/2223:00,Vancouver Whitecaps II,1,3,Los Angeles FC II,4
06/2221:00,St Louis City II,4,3,Minnesota II,7
06/1823:00,Real Monarchs,1,4,St Louis City II,5
06/1822:00,Austin FC II,4,0,Portland Timbers II,4
06/1821:30,Colorado Rapids II,1,2,Tacoma Defiance,3
06/1821:00,Los Angeles FC II,0,2,Sporting Kansas City II,2
06/1820:00,Huntsville,2,0,Inter Miami II,2
06/1820:00,Minnesota II,2,0,Vancouver Whitecaps II,2
06/1820:00,Toronto FC II,4,3,Atlanta United II,7
06/1820:00,New York City II,2,3,Columbus Crew II,5
06/1819:00,Cincinnati II,2,1,New England Revolution II,3
06/1819:00,Philadelphia Union II,2,5,Chicago Fire II,7
06/1818:00,Crown Legacy,7,6,New York Red Bulls II,13
06/1621:30,North Texas,0,1,San Jose Earthquakes II,1
06/1522:00,Vancouver Whitecaps II,1,0,Real Monarchs,1
06/1521:00,Sporting Kansas City II,7,6,Tacoma Defiance,13
06/1521:00,Houston Dynamo II,1,2,Portland Timbers II,3
06/1521:00,Chicago Fire II,1,0,Orlando City II,1
06/1520:00,Toronto FC II,1,2,Huntsville,3
06/1520:00,Columbus Crew II,8,7,Atlanta United II,15
06/1421:00,St Louis City II,0,1,Austin FC II,1
06/1420:00,Philadelphia Union II,0,2,Crown Legacy,2
06/1418:00,New England Revolution II,1,0,New York City II,1
06/1121:00,New England Revolution II,6,5,Chicago Fire II,11
06/1120:30,Los Angeles FC II,0,1,Colorado Rapids II,1
06/1120:30,San Jose Earthquakes II,7,6,Tacoma Defiance,13
06/1120:00,Huntsville,4,2,St Louis City II,6
06/1120:00,New York City II,3,1,New York Red Bulls II,4
06/1120:00,Minnesota II,1,4,Houston Dynamo II,5
06/1119:00,Inter Miami II,5,6,Toronto FC II,11
06/1119:00,Orlando City II,4,0,Cincinnati II,4
06/1116:30,Columbus Crew II,2,1,Crown Legacy,3
06/1021:00,Portland Timbers II,2,0,North Texas,2
06/0923:00,Real Monarchs,8,7,Los Angeles Galaxy II,15
06/0922:00,Austin FC II,1,0,Vancouver Whitecaps II,1
06/0920:00,Philadelphia Union II,1,0,Atlanta United II,1
06/0820:00,Inter Miami II,3,1,Cincinnati II,4
06/0522:00,Tacoma Defiance,0,2,St Louis City II,2
06/0422:00,Toronto FC II,3,0,Orlando City II,3
06/0421:30,North Texas,2,0,Los Angeles Galaxy II,2
06/0421:00,Colorado Rapids II,6,4,San Jose Earthquakes II,10
06/0420:30,Atlanta United II,5,0,Inter Miami II,5
06/0420:00,Huntsville,3,4,New York City II,7
06/0420:00,New York Red Bulls II,4,1,New England Revolution II,5
06/0419:00,Cincinnati II,2,1,Philadelphia Union II,3
06/0415:00,Columbus Crew II,2,4,Chicago Fire II,6
06/0323:00,Los Angeles FC II,0,2,Houston Dynamo II,2
06/0316:00,Portland Timbers II,4,2,Minnesota II,6
06/0223:00,Vancouver Whitecaps II,6,5,Sporting Kansas City II,11
06/0222:00,Austin FC II,3,0,Real Monarchs,3
05/2920:00,Orlando City II,3,2,New York Red Bulls II,5
05/2823:30,Los Angeles Galaxy II,6,4,Vancouver Whitecaps II,10
05/2820:00,New York City II,2,1,Cincinnati II,3
05/2820:00,Philadelphia Union II,3,2,Columbus Crew II,5
05/2819:00,Chicago Fire II,0,1,Crown Legacy,1
05/2819:00,Houston Dynamo II,2,0,Austin FC II,2
05/2819:00,Atlanta United II,2,0,Toronto FC II,2
05/2819:00,St Louis City II,7,6,North Texas,13
05/2819:00,Minnesota II,1,4,Colorado Rapids II,5
05/2819:00,New England Revolution II,1,0,Inter Miami II,1
05/2818:00,San Jose Earthquakes II,1,2,Portland Timbers II,3
05/2623:00,Tacoma Defiance,4,2,Los Angeles FC II,6
05/2621:00,Huntsville,1,2,New York Red Bulls II,3
05/2621:00,Sporting Kansas City II,0,1,Real Monarchs,1
05/2523:00,Portland Timbers II,1,2,St Louis City II,3
05/2523:00,San Jose Earthquakes II,0,1,Vancouver Whitecaps II,1
05/2521:30,North Texas,5,7,Colorado Rapids II,12
05/2520:00,Inter Miami II,0,1,Orlando City II,1
05/2520:00,New York City II,3,1,Toronto FC II,4
05/2520:00,Cincinnati II,4,3,Atlanta United II,7
05/2520:00,New England Revolution II,2,0,Columbus Crew II,2
05/2421:00,Minnesota II,3,2,Los Angeles Galaxy II,5
05/2420:00,Crown Legacy,6,4,Philadelphia Union II,10
05/2122:00,Vancouver Whitecaps II,1,0,Tacoma Defiance,1
05/2121:30,North Texas,8,9,Houston Dynamo II,17
05/2121:00,Los Angeles Galaxy II,2,0,Portland Timbers II,2
05/2120:00,New York Red Bulls II,1,0,Inter Miami II,1
05/2120:00,Toronto FC II,3,2,Chicago Fire II,5
05/2119:00,Real Monarchs,0,1,Los Angeles FC II,1
05/2119:00,St Louis City II,7,6,Sporting Kansas City II,13
05/2119:00,Cincinnati II,0,1,Columbus Crew II,1
05/2116:00,Philadelphia Union II,3,4,New England Revolution II,7
05/1922:00,Austin FC II,0,1,San Jose Earthquakes II,1
05/1921:00,Huntsville,2,1,Crown Legacy,3
05/1920:00,Orlando City II,6,7,Atlanta United II,13
05/1500:00,Tacoma Defiance,8,6,Minnesota II,14
05/1420:00,New York Red Bulls II,2,0,New York City II,2
05/1420:00,Houston Dynamo II,3,0,Real Monarchs,3
05/1420:00,Portland Timbers II,3,1,Vancouver Whitecaps II,4
05/1420:00,Toronto FC II,2,3,New England Revolution II,5
05/1419:00,Colorado Rapids II,1,0,Austin FC II,1
05/1419:00,Sporting Kansas City II,2,1,Los Angeles Galaxy II,3
05/1419:00,Inter Miami II,5,6,Philadelphia Union II,11
05/1418:00,Atlanta United II,1,2,Crown Legacy,3
05/1415:00,Columbus Crew II,4,0,Orlando City II,4
05/1223:00,San Jose Earthquakes II,5,3,North Texas,8
05/1221:00,Chicago Fire II,2,5,Huntsville,7
05/1023:00,Los Angeles FC II,5,7,St Louis City II,12
05/0722:00,Vancouver Whitecaps II,1,0,Houston Dynamo II,1
05/0721:30,North Texas,4,1,St Louis City II,5
05/0721:00,Los Angeles Galaxy II,0,5,Colorado Rapids II,5
05/0721:00,Portland Timbers II,0,1,Austin FC II,1
05/0721:00,Minnesota II,6,5,Chicago Fire II,11
05/0720:00,New York Red Bulls II,1,2,Philadelphia Union II,3
05/0720:00,Toronto FC II,3,0,Cincinnati II,3
05/0719:30,Inter Miami II,3,2,Atlanta United II,5
05/0618:00,New York City II,4,2,New England Revolution II,6
05/0523:00,Real Monarchs,1,2,Tacoma Defiance,3
05/0523:00,San Jose Earthquakes II,1,2,Sporting Kansas City II,3
05/0520:30,Crown Legacy,3,2,Orlando City II,5
05/0520:00,Columbus Crew II,1,0,Huntsville,1
05/0100:00,Tacoma Defiance,3,1,Los Angeles Galaxy II,4
04/3021:00,Sporting Kansas City II,1,4,Houston Dynamo II,5
04/3020:00,New York City II,1,4,Crown Legacy,5
04/3019:30,Los Angeles FC II,0,1,San Jose Earthquakes II,1
04/3019:00,Atlanta United II,1,0,Philadelphia Union II,1
04/3019:00,Chicago Fire II,0,3,New York Red Bulls II,3
04/3019:00,St Louis City II,2,1,Vancouver Whitecaps II,3
04/3019:00,Colorado Rapids II,4,2,North Texas,6
04/3019:00,Real Monarchs,5,1,Portland Timbers II,6
04/3019:00,Orlando City II,3,2,Toronto FC II,5
04/3018:00,New England Revolution II,10,9,Cincinnati II,19
04/3018:00,Columbus Crew II,3,2,Inter Miami II,5
04/2823:10,Austin FC II,7,6,Minnesota II,13
04/2323:00,Vancouver Whitecaps II,5,2,Minnesota II,7
04/2321:00,Portland Timbers II,2,0,Los Angeles FC II,2
04/2321:00,Los Angeles Galaxy II,6,5,Austin FC II,11
04/2320:30,Houston Dynamo II,1,2,Tacoma Defiance,3
04/2320:00,Inter Miami II,4,3,Huntsville,7
04/2320:00,Cincinnati II,3,2,Sporting Kansas City II,5
04/2320:00,Orlando City II,10,9,New York City II,19
04/2319:00,Colorado Rapids II,4,5,St Louis City II,9
04/2315:00,Crown Legacy,1,0,Columbus Crew II,1
