07/0823:30,Vancouver Whitecaps,2,3,Seattle Sounders,5
07/0823:30,Los Angeles FC,1,1,San Jose Earthquakes,2
07/0823:30,Los Ageles Galaxy,3,1,Philadelphia Union,4
07/0822:30,Real Salt Lake,4,0,Orlando City,4
07/0822:30,Colorado Rapids,2,1,FC Dallas,3
07/0821:30,Minnesota United,1,4,Austin FC,5
07/0821:30,Houston Dynamo,2,2,Sporting Kansas City,4
07/0821:30,Chicago Fire,1,0,Nashville SC,1
07/0820:30,Toronto FC,0,1,St Louis City,1
07/0820:30,CF Montreal,0,1,Atlanta United,1
07/0820:30,Charlotte,2,2,FC Cincinnati,4
07/0820:30,New York Red Bulls,2,1,New England Revolution,3
07/0820:30,DC United,2,2,Inter Miami,4
07/0820:30,Columbus Crew,1,1,New York City,2
07/0520:30,New York City,1,1,Charlotte,2
07/0423:30,Los Ageles Galaxy,2,1,Los Angeles FC,3
07/0421:30,FC Dallas,0,1,DC United,1
07/0420:30,Orlando City,4,0,Toronto FC,4
07/0420:30,Inter Miami,2,2,Columbus Crew,4
07/0217:00,Atlanta United,2,0,Philadelphia Union,2
07/0123:30,Seattle Sounders,1,0,Houston Dynamo,1
07/0123:30,San Jose Earthquakes,2,2,Los Ageles Galaxy,4
07/0121:30,Minnesota United,4,1,Portland Timbers,5
07/0121:30,St Louis City,2,0,Colorado Rapids,2
07/0121:30,Nashville SC,2,0,DC United,2
07/0121:30,Sporting Kansas City,3,0,Vancouver Whitecaps,3
07/0121:30,FC Dallas,2,0,Los Angeles FC,2
07/0120:30,Toronto FC,0,1,Real Salt Lake,1
07/0120:30,CF Montreal,0,1,New York City,1
07/0120:30,Inter Miami,1,1,Austin FC,2
07/0120:30,FC Cincinnati,2,2,New England Revolution,4
07/0120:30,Orlando City,3,1,Chicago Fire,4
07/0120:30,Columbus Crew,2,1,New York Red Bulls,3
06/2423:30,Los Angeles FC,2,3,Vancouver Whitecaps,5
06/2423:30,Seattle Sounders,0,0,Orlando City,0
06/2423:30,San Jose Earthquakes,1,2,St Louis City,3
