16.0717:30,Juan Aurich,0,0,Union Huaral,0
16.0717:00,AD Comerciantes FC,2,0,Pirata,2
12.0717:15,Alfonso Ugarte,4,0,Llacuabamba,4
12.0715:00,Universidad de San Martin,3,2,Los Chankas,5
12.0713:00,Ayacucho,0,0,Deportivo Coopsol,0
11.0715:00,Carlos Stein,0,1,Comerciantes,1
10.0717:15,Pirata,1,2,Alianza Huanuco,3
09.0717:30,Union Huaral,1,1,AD Comerciantes FC,2
09.0717:30,Santos,1,0,Juan Aurich,1
06.0717:00,Carlos Stein,2,4,Deportivo Coopsol,6
05.0717:30,Pirata,2,2,Los Chankas,4
04.0715:00,Universidad de San Martin,0,1,Comerciantes,1
04.0713:00,Ayacucho,1,3,Llacuabamba,4
03.0717:00,Union Huaral,1,2,Alianza Huanuco,3
02.0717:00,AD Comerciantes FC,1,0,Juan Aurich,1
02.0717:00,Alfonso Ugarte,1,1,Santos,2
28.0617:15,Llacuabamba,4,3,Carlos Stein,7
28.0617:15,Juan Aurich,0,0,Alfonso Ugarte,0
28.0617:15,Deportivo Coopsol,1,1,Universidad de San Martin,2
27.0617:30,Los Chankas,3,0,Union Huaral,3
26.0617:30,Comerciantes,5,0,Pirata,5
26.0617:00,Santos,4,1,Ayacucho,5
26.0615:15,Alianza Huanuco,1,0,AD Comerciantes FC,1
24.0615:00,Union Huaral,1,3,Juan Aurich,4
22.0617:00,AD Comerciantes FC,0,0,Los Chankas,0
21.0615:00,Carlos Stein,1,3,Santos,4
20.0615:00,Pirata,1,2,Deportivo Coopsol,3
20.0614:30,Ayacucho,2,2,Alfonso Ugarte,4
19.0617:30,Union Huaral,1,5,Comerciantes,6
19.0617:30,Universidad de San Martin,2,2,Llacuabamba,4
18.0614:45,Alianza Huanuco,2,0,Juan Aurich,2
16.0617:30,Carlos Stein,0,2,Los Chankas,2
15.0615:00,Deportivo Coopsol,1,0,Union Huaral,1
13.0617:30,Llacuabamba,4,0,Pirata,4
13.0615:00,Santos,2,1,Universidad de San Martin,3
12.0617:30,Juan Aurich,1,1,Ayacucho,2
12.0610:15,Alfonso Ugarte,5,1,Carlos Stein,6
11.0617:30,Los Chankas,2,2,Alianza Huanuco,4
11.0617:30,Comerciantes,2,0,AD Comerciantes FC,2
08.0615:00,Universidad de San Martin,2,1,Alfonso Ugarte,3
07.0617:30,Pirata,0,0,Santos,0
07.0615:00,Union Huaral,2,2,Llacuabamba,4
06.0615:00,Carlos Stein,3,3,Ayacucho,6
05.0622:00,Alianza Huanuco,0,3,Comerciantes,3
04.0617:30,Los Chankas,2,0,Juan Aurich,2
04.0617:00,AD Comerciantes FC,2,1,Deportivo Coopsol,3
01.0615:00,Ayacucho,1,1,Universidad de San Martin,2
31.0517:15,Llacuabamba,2,1,AD Comerciantes FC,3
31.0515:00,Alfonso Ugarte,3,0,Pirata,3
30.0517:30,Juan Aurich,3,1,Carlos Stein,4
30.0515:00,Santos,1,0,Union Huaral,1
29.0517:15,Deportivo Coopsol,0,1,Alianza Huanuco,1
28.0517:30,Comerciantes,3,2,Los Chankas,5
25.0517:30,Pirata,2,0,Ayacucho,2
25.0517:30,AD Comerciantes FC,1,0,Santos,1
24.0521:30,Alianza Huanuco,0,1,Llacuabamba,1
24.0517:30,Union Huaral,1,1,Alfonso Ugarte,2
23.0517:30,Comerciantes,2,2,Juan Aurich,4
23.0517:00,Los Chankas,2,1,Deportivo Coopsol,3
23.0515:00,Universidad de San Martin,2,0,Carlos Stein,2
20.0514:30,Ayacucho,0,1,Union Huaral,1
19.0517:30,Llacuabamba,1,0,Los Chankas,1
19.0517:00,Santos,1,0,Alianza Huanuco,1
19.0515:00,Deportivo Coopsol,1,2,Comerciantes,3
18.0517:30,Alfonso Ugarte,2,0,AD Comerciantes FC,2
18.0515:00,Carlos Stein,0,2,Pirata,2
17.0517:30,Juan Aurich,0,2,Universidad de San Martin,2
15.0515:00,Union Huaral,1,0,Carlos Stein,1
14.0517:30,Los Chankas,4,1,Santos,5
14.0517:30,Comerciantes,2,1,Llacuabamba,3
14.0517:00,AD Comerciantes FC,3,1,Ayacucho,4
13.0522:00,Alianza Huanuco,1,1,Alfonso Ugarte,2
13.0517:00,Pirata,0,2,Universidad de San Martin,2
13.0515:00,Deportivo Coopsol,2,1,Juan Aurich,3
10.0515:00,Carlos Stein,1,2,AD Comerciantes FC,3
09.0517:30,Pirata,1,1,Juan Aurich,2
09.0515:00,Universidad de San Martin,0,1,Union Huaral,1
08.0517:30,Alfonso Ugarte,2,2,Los Chankas,4
07.0517:00,Llacuabamba,3,0,Deportivo Coopsol,3
07.0515:00,Santos,3,1,Comerciantes,4
07.0514:30,Ayacucho,1,3,Alianza Huanuco,4
03.0517:30,Union Huaral,0,0,Pirata,0
02.0517:30,Juan Aurich,1,0,Llacuabamba,1
02.0515:00,Deportivo Coopsol,0,0,Santos,0
01.0522:00,Alianza Huanuco,3,0,Carlos Stein,3
30.0417:30,Los Chankas,5,1,Ayacucho,6
30.0417:30,Comerciantes,2,1,Alfonso Ugarte,3
30.0417:00,AD Comerciantes FC,2,1,Universidad de San Martin,3
23.0417:00,Alfonso Ugarte,3,0,Deportivo Coopsol,3
23.0415:00,Santos,0,1,Llacuabamba,1
23.0414:00,Ayacucho,2,4,Comerciantes,6
23.0412:15,Universidad de San Martin,0,2,Alianza Huanuco,2
22.0412:30,Pirata,1,0,AD Comerciantes FC,1
17.0422:00,Alianza Huanuco,3,1,Pirata,4
17.0415:00,Deportivo Coopsol,1,0,Ayacucho,1
16.0417:30,Los Chankas,2,0,Universidad de San Martin,2
16.0417:30,Comerciantes,2,1,Carlos Stein,3
16.0417:00,AD Comerciantes FC,0,0,Union Huaral,0
16.0417:00,Llacuabamba,1,1,Alfonso Ugarte,2
15.0417:30,Juan Aurich,1,0,Santos,1
25.0917:00,Alianza Huanuco,4,2,Alfonso Ugarte,6
25.0917:00,Comerciantes,2,1,Cusco,3
25.0917:00,Santos,5,0,Los Chankas,5
25.0917:00,Union Huaral,2,1,Pirata,3
24.0917:00,Juan Aurich,3,0,SportChavelines,3
24.0917:00,Deportivo Coopsol,2,0,Llacuabamba,2
18.0917:30,SportChavelines,1,3,Union Huaral,4
18.0917:00,Llacuabamba,3,0,Santos,3
18.0917:00,Cusco,2,1,Alianza Huanuco,3
18.0917:00,Alfonso Ugarte,4,0,Juan Aurich,4
18.0915:00,Uni�nComercio,4,0,Comerciantes,4
17.0917:00,Pirata,2,2,Deportivo Coopsol,4
11.0917:30,Union Huaral,1,0,Alfonso Ugarte,1
11.0917:30,Los Chankas,6,2,Llacuabamba,8
11.0917:00,Juan Aurich,0,3,Cusco,3
11.0917:00,Santos,1,2,Pirata,3
10.0917:00,Deportivo Coopsol,2,1,SportChavelines,3
09.0921:00,Alianza Huanuco,1,1,Uni�nComercio,2
04.0917:30,SportChavelines,1,2,Santos,3
04.0917:30,Comerciantes,3,1,Alianza Huanuco,4
04.0917:00,Alfonso Ugarte,1,0,Deportivo Coopsol,1
04.0917:00,Cusco,2,0,Union Huaral,2
04.0917:00,Pirata,1,1,Los Chankas,2
04.0915:00,Uni�nComercio,4,0,Juan Aurich,4
28.0817:30,Los Chankas,3,2,SportChavelines,5
28.0817:30,Union Huaral,2,1,Uni�nComercio,3
28.0817:00,Santos,1,0,Alfonso Ugarte,1
28.0817:00,Juan Aurich,2,1,Comerciantes,3
28.0817:00,Llacuabamba,0,0,Pirata,0
27.0817:00,Deportivo Coopsol,1,2,Cusco,3
21.0817:30,Comerciantes,3,1,Union Huaral,4
21.0817:30,SportChavelines,1,1,Llacuabamba,2
21.0817:00,Cusco,4,1,Santos,5
21.0817:00,Alfonso Ugarte,2,1,Los Chankas,3
21.0817:00,Alianza Huanuco,3,1,Juan Aurich,4
21.0815:00,Uni�nComercio,4,0,Deportivo Coopsol,4
14.0817:30,Los Chankas,1,1,Cusco,2
14.0817:30,Union Huaral,1,1,Alianza Huanuco,2
14.0817:00,Santos,1,0,Uni�nComercio,1
14.0817:00,Llacuabamba,2,3,Alfonso Ugarte,5
14.0817:00,Pirata,1,0,SportChavelines,1
13.0817:00,Deportivo Coopsol,0,0,Comerciantes,0
07.0817:30,Comerciantes,1,1,Santos,2
07.0817:00,Juan Aurich,4,1,Union Huaral,5
07.0817:00,Alfonso Ugarte,2,1,Pirata,3
07.0815:00,Uni�nComercio,4,0,Los Chankas,4
06.0817:00,Cusco,2,0,Llacuabamba,2
05.0822:00,Alianza Huanuco,6,1,Deportivo Coopsol,7
31.0717:30,SportChavelines,1,1,Alfonso Ugarte,2
31.0717:30,Los Chankas,2,0,Comerciantes,2
31.0717:00,Llacuabamba,0,3,Uni�nComercio,3
31.0717:00,Pirata,2,2,Cusco,4
31.0717:00,Santos,2,2,Alianza Huanuco,4
30.0717:00,Deportivo Coopsol,0,0,Juan Aurich,0
24.0717:30,Union Huaral,1,1,Deportivo Coopsol,2
24.0717:30,Comerciantes,2,1,Llacuabamba,3
24.0717:00,Alianza Huanuco,2,2,Los Chankas,4
24.0715:00,Uni�nComercio,4,1,Pirata,5
23.0717:00,Cusco,3,0,SportChavelines,3
23.0715:00,Juan Aurich,0,1,Santos,1
17.0717:30,SportChavelines,0,0,Uni�nComercio,0
17.0717:30,Los Chankas,4,0,Juan Aurich,4
17.0717:00,Alfonso Ugarte,0,1,Cusco,1
17.0717:00,Llacuabamba,2,1,Alianza Huanuco,3
17.0717:00,Pirata,1,2,Comerciantes,3
17.0717:00,Santos,1,0,Union Huaral,1
10.0717:30,Comerciantes,4,0,SportChavelines,4
10.0717:30,Union Huaral,2,1,Los Chankas,3
10.0717:00,Alianza Huanuco,3,0,Pirata,3
10.0715:00,Uni�nComercio,4,1,Alfonso Ugarte,5
10.0715:00,Juan Aurich,2,2,Llacuabamba,4
09.0717:00,Deportivo Coopsol,0,1,Santos,1
03.0717:30,SportChavelines,0,1,Alianza Huanuco,1
03.0717:30,Los Chankas,2,2,Deportivo Coopsol,4
03.0717:00,Alfonso Ugarte,2,0,Comerciantes,2
03.0717:00,Pirata,1,0,Juan Aurich,1
03.0717:00,Cusco,4,1,Uni�nComercio,5
03.0717:00,Llacuabamba,3,1,Union Huaral,4
