05.0718:30,Leandro N. Alem,0,2,Midland,2
04.0723:00,Excursionistas,1,1,Sportivo Italiano,2
04.0718:30,General Lamadrid,0,0,Lujan,0
02.0720:00,Deportivo Laferrere,0,0,Deportivo Espanol,0
02.0718:30,Atlas,0,0,Puerto Nuevo,0
02.0718:30,JJ Urquiza,2,0,Real Pilar,2
01.0718:30,Victoriano Arenas,1,2,Claypole,3
01.0718:30,San Martin (Burzaco),1,1,Berazategui,2
01.0718:30,Central Cordoba (Rosario),0,0,Liniers,0
26.0618:30,Berazategui,2,1,Excursionistas,3
25.0620:00,Midland,4,3,Atlas,7
25.0618:30,Liniers,3,1,JJ Urquiza,4
25.0618:30,Deportivo Espanol,1,1,Victoriano Arenas,2
25.0618:30,Puerto Nuevo,1,1,Yupanqui,2
24.0618:30,Lujan,0,1,San Martin (Burzaco),1
24.0618:30,Sportivo Italiano,1,0,Deportivo Laferrere,1
24.0618:30,Claypole,0,0,Leandro N. Alem,0
24.0618:30,Real Pilar,0,1,General Lamadrid,1
20.0618:30,Leandro N. Alem,2,0,Deportivo Espanol,2
19.0618:30,Victoriano Arenas,0,3,Sportivo Italiano,3
19.0618:30,San Martin (Burzaco),1,1,Real Pilar,2
19.0618:30,General Lamadrid,2,1,Liniers,3
19.0618:30,JJ Urquiza,1,0,Central Cordoba (Rosario),1
18.0618:30,Atlas,2,1,Claypole,3
18.0618:30,Deportivo Laferrere,0,1,Berazategui,1
17.0618:30,Yupanqui,1,0,Midland,1
16.0623:00,Excursionistas,1,0,Lujan,1
13.0622:00,Midland,2,1,Puerto Nuevo,3
13.0618:30,Deportivo Espanol,1,1,Atlas,2
12.0618:30,Liniers,1,0,San Martin (Burzaco),1
12.0618:30,Berazategui,1,0,Victoriano Arenas,1
12.0618:30,Lujan,1,0,Deportivo Laferrere,1
12.0618:30,Claypole,3,0,Yupanqui,3
10.0618:30,Central Cordoba (Rosario),3,1,General Lamadrid,4
10.0618:30,Real Pilar,2,3,Excursionistas,5
10.0618:30,Sportivo Italiano,1,1,Leandro N. Alem,2
05.0623:00,Excursionistas,3,0,Liniers,3
05.0618:30,Leandro N. Alem,2,2,Berazategui,4
04.0618:30,Atlas,1,0,Sportivo Italiano,1
04.0618:30,Deportivo Laferrere,2,0,Real Pilar,2
04.0618:30,San Martin (Burzaco),2,0,Central Cordoba (Rosario),2
04.0618:30,General Lamadrid,2,1,JJ Urquiza,3
03.0618:30,Victoriano Arenas,0,0,Lujan,0
03.0618:30,Puerto Nuevo,0,1,Claypole,1
02.0618:30,Yupanqui,0,1,Deportivo Espanol,1
30.0518:30,Deportivo Laferrere,1,0,Liniers,1
29.0522:00,Midland,0,1,Claypole,1
29.0518:30,San Martin (Burzaco),2,0,JJ Urquiza,2
29.0518:30,Victoriano Arenas,1,1,Real Pilar,2
