04.0700:10,All Boys,1,0,San Telmo,1
03.0723:00,Atlanta,1,1,Deportivo Madryn,2
03.0718:00,Deportivo Riestra,2,1,Estudiantes (BsAs),3
02.0722:10,Mitre (SdE),2,1,Independiente Rivadavia,3
02.0720:10,Defensores de Belgrano,1,0,Agropecuario,1
02.0720:00,Patronato,3,1,Flandria,4
02.0720:00,Estudiantes (RC),1,0,Almagro,1
02.0718:30,Gimnasia (M),3,1,Alvarado,4
02.0718:30,Chaco For Ever,3,0,Aldosivi,3
02.0718:10,Chacarita,2,1,Deportivo Maipu,3
01.0723:00,Moron,1,0,Defensores Unidos,1
01.0721:10,Nueva Chicago,0,0,Temperley,0
01.0720:05,Almirante Brown,0,0,Guillermo Brown,0
01.0719:00,Racing (C),3,3,Atletico Rafaela,6
01.0718:00,Tristan Suarez,1,1,Villa Dalmine,2
01.0700:15,Gimnasia (J),0,1,Quilmes,1
01.0700:10,Ferro,1,0,Brown de Adrogue,1
01.0700:00,Guemes,4,0,San Martin (SJ),4
26.0618:30,Flandria,1,1,Gimnasia (M),2
25.0622:10,Atletico Rafaela,1,0,Atlanta,1
25.0619:00,Aldosivi,3,1,Gimnasia (J),4
25.0618:30,Deportivo Maipu,2,1,Mitre (SdE),3
25.0618:10,San Martin (T),1,1,Nueva Chicago,2
25.0618:00,Estudiantes (BsAs),1,1,Racing (C),2
25.0618:00,Guillermo Brown,0,2,Moron,2
25.0615:00,Brown de Adrogue,1,1,Deportivo Riestra,2
24.0623:10,Quilmes,1,0,Ferro,1
24.0621:10,Temperley,1,1,All Boys,2
24.0619:30,San Martin (SJ),2,1,Patronato,3
24.0619:10,Independiente Rivadavia,1,0,Chaco For Ever,1
24.0618:30,San Telmo,0,1,Estudiantes (RC),1
24.0618:10,Agropecuario,4,0,Almirante Brown,4
24.0618:00,Deportivo Madryn,1,0,Tristan Suarez,1
24.0618:00,Almagro,2,1,Defensores de Belgrano,3
24.0615:05,Villa Dalmine,0,1,Chacarita,1
23.0618:30,Defensores Unidos,1,0,Guemes,1
19.0622:00,Racing (C),1,2,Brown de Adrogue,3
19.0619:30,Chaco For Ever,0,1,Deportivo Maipu,1
19.0618:00,Almirante Brown,1,0,Almagro,1
19.0618:00,Atlanta,3,2,Estudiantes (BsAs),5
19.0618:00,Deportivo Riestra,1,1,Quilmes,2
18.0622:10,All Boys,0,1,San Martin (T),1
18.0620:10,Ferro,3,0,Gimnasia (J),3
18.0618:30,Guemes,1,1,Guillermo Brown,2
18.0618:30,Mitre (SdE),3,1,Villa Dalmine,4
18.0618:10,Gimnasia (M),2,0,San Martin (SJ),2
18.0618:00,Defensores de Belgrano,2,0,San Telmo,2
18.0616:10,Patronato,1,0,Defensores Unidos,1
17.0622:00,Moron,2,1,Agropecuario,3
17.0622:00,Alvarado,2,0,Flandria,2
17.0620:05,Independiente Rivadavia,2,1,Aldosivi,3
17.0618:05,Chacarita,0,0,Deportivo Madryn,0
17.0618:00,Tristan Suarez,0,0,Atletico Rafaela,0
16.0623:05,Estudiantes (RC),1,0,Temperley,1
14.0620:10,Patronato,0,1,Almirante Brown,1
10.0619:35,Temperley,1,1,Defensores de Belgrano,2
10.0618:30,Defensores Unidos,1,0,Gimnasia (M),1
10.0618:30,Agropecuario,1,0,Guemes,1
10.0618:30,Almagro,0,1,Moron,1
10.0618:00,Guillermo Brown,0,0,Patronato,0
10.0617:45,San Telmo,3,1,Almirante Brown,4
10.0600:30,San Martin (SJ),1,1,Alvarado,2
09.0622:00,Nueva Chicago,2,0,All Boys,2
08.0623:10,San Martin (T),0,0,Estudiantes (RC),0
06.0600:10,Racing (C),0,1,Quilmes,1
05.0620:45,Atlanta,1,2,Brown de Adrogue,3
05.0617:30,Mitre (SdE),1,0,Deportivo Madryn,1
04.0623:10,San Martin (T),3,1,Defensores de Belgrano,4
04.0621:00,Aldosivi,1,2,Ferro,3
04.0620:00,San Martin (SJ),2,0,Flandria,2
04.0618:30,Defensores Unidos,0,0,Alvarado,0
04.0618:00,Guillermo Brown,1,2,Gimnasia (M),3
04.0618:00,San Telmo,2,1,Moron,3
04.0615:00,Nueva Chicago,2,0,Estudiantes (RC),2
04.0600:10,Temperley,1,1,Almirante Brown,2
03.0622:10,Independiente Rivadavia,2,1,Deportivo Maipu,3
03.0619:30,Chaco For Ever,2,0,Villa Dalmine,2
03.0618:30,Agropecuario,2,1,Patronato,3
03.0618:00,Tristan Suarez,1,1,Estudiantes (BsAs),2
03.0618:00,Almagro,1,1,Guemes,2
03.0615:30,Deportivo Riestra,2,1,Gimnasia (J),3
02.0622:00,Chacarita,3,0,Atletico Rafaela,3
