13.0714:00,Banfield II,0,1,Lanus II,1
13.0714:00,Platense II,4,1,Union II,5
13.0714:00,San Lorenzo II,0,1,Belgrano II,1
13.0714:00,Estudiantes II,0,0,River Plate II,0
11.0714:00,Tigre II,0,1,Instituto II,1
10.0714:00,Gimnasia II,2,0,Atletico Tucuman II,2
10.0714:00,Newells II,1,0,Independiente II,1
10.0714:00,Central Cordoba II,0,2,Rosario Central II,2
10.0714:00,Huracan II,2,2,Boca Juniors II,4
10.0714:00,Godoy Cruz II,0,1,Velez II,1
10.0714:00,Lanus II,2,1,Defensa y Justicia II,3
09.0714:00,Argentinos Juniors II,2,0,Barracas II,2
09.0714:00,Arsenal II,2,0,Banfield II,2
09.0714:00,Belgrano II,2,1,Colon II,3
09.0714:00,Sarmiento II,2,2,Platense II,4
08.0714:00,River Plate II,4,0,San Lorenzo II,4
08.0714:00,Racing II,3,1,Estudiantes II,4
08.0714:00,Union II,4,0,Talleres II,4
05.0714:00,Atletico Tucuman II,2,2,Huracan II,4
05.0714:00,Independiente II,1,3,Gimnasia II,4
05.0714:00,Banfield II,1,1,Tigre II,2
05.0714:00,Platense II,3,1,Godoy Cruz II,4
05.0714:00,Newells II,3,0,Central Cordoba II,3
04.0714:00,Velez II,2,0,Lanus II,2
04.0714:00,Defensa y Justicia II,0,0,Arsenal II,0
04.0714:00,Barracas II,1,3,Belgrano II,4
04.0714:00,Instituto II,1,4,Argentinos Juniors II,5
03.0714:00,Talleres II,4,2,Sarmiento II,6
03.0714:00,Colon II,1,3,River Plate II,4
03.0714:00,San Lorenzo II,3,0,Racing II,3
03.0714:00,Estudiantes II,2,2,Rosario Central II,4
03.0714:00,Boca Juniors II,2,2,Union II,4
28.0614:00,Lanus II,1,2,Platense II,3
28.0614:00,Belgrano II,1,0,Instituto II,1
28.0614:00,Tigre II,2,0,Defensa y Justicia II,2
28.0614:00,Godoy Cruz II,1,2,Talleres II,3
27.0614:00,Union II,1,1,Atletico Tucuman II,2
27.0614:00,Racing II,1,0,Colon II,1
27.0611:00,Gimnasia II,0,0,Newells II,0
27.0611:00,Union II,1,1,Atletico Tucuman II,2
27.0611:00,Sarmiento II,0,1,Boca Juniors II,1
27.0611:00,Arsenal II,0,1,Velez II,1
27.0611:00,Racing II,1,0,Colon II,1
26.0611:00,River Plate II,1,0,Barracas II,1
26.0611:00,Central Cordoba II,1,1,Estudiantes II,2
26.0611:00,Rosario Central II,4,0,San Lorenzo II,4
26.0611:00,Argentinos Juniors II,3,0,Banfield II,3
26.0611:00,Huracan II,1,2,Independiente II,3
20.0616:00,Talleres II,2,2,Lanus II,4
20.0614:00,Instituto II,3,1,River Plate II,4
20.0614:00,Gimnasia II,2,3,Central Cordoba II,5
20.0614:00,Atletico Tucuman II,1,2,Sarmiento II,3
20.0614:00,Banfield II,0,1,Belgrano II,1
19.0614:00,Barracas II,0,1,Racing II,1
19.0614:00,San Lorenzo II,1,0,Estudiantes II,1
19.0614:00,Velez II,2,0,Tigre II,2
19.0614:00,Platense II,1,0,Arsenal II,1
19.0614:00,Boca Juniors II,0,0,Godoy Cruz II,0
18.0611:00,Independiente II,1,1,Union II,2
18.0611:00,Colon II,1,0,Rosario Central II,1
18.0611:00,Newells II,0,1,Huracan II,1
18.0610:00,Defensa y Justicia II,0,2,Argentinos Juniors II,2
09.0611:00,Estudiantes II,1,0,Colon II,1
09.0611:00,Central Cordoba II,0,3,San Lorenzo II,3
09.0611:00,River Plate II,0,2,Banfield II,2
09.0611:00,Racing II,2,0,Instituto II,2
09.0611:00,Argentinos Juniors II,0,0,Velez II,0
09.0611:00,Huracan II,2,0,Gimnasia II,2
08.0619:00,Lanus II,0,1,Boca Juniors II,1
08.0611:00,Rosario Central II,2,1,Barracas II,3
08.0611:00,Godoy Cruz II,1,1,Atletico Tucuman II,2
08.0611:00,Union II,1,1,Newells II,2
08.0611:00,Belgrano II,2,0,Defensa y Justicia II,2
07.0611:00,Sarmiento II,2,2,Independiente II,4
07.0611:00,Tigre II,1,0,Platense II,1
07.0611:00,Arsenal II,0,1,Talleres II,1
02.0611:00,Huracan II,1,2,Central Cordoba II,3
02.0611:00,Barracas II,0,2,Estudiantes II,2
02.0611:00,Velez II,1,0,Belgrano II,1
02.0611:00,Colon II,0,0,San Lorenzo II,0
02.0611:00,Defensa y Justicia II,3,0,River Plate II,3
01.0611:00,Independiente II,3,0,Godoy Cruz II,3
01.0611:00,Atletico Tucuman II,3,0,Lanus II,3
01.0611:00,Instituto II,3,0,Rosario Central II,3
01.0611:00,Banfield II,2,1,Racing II,3
31.0520:00,Talleres II,2,1,Tigre II,3
31.0520:00,Boca Juniors II,2,1,Arsenal II,3
31.0511:00,Gimnasia II,4,0,Union II,4
31.0511:00,Newells II,0,1,Sarmiento II,1
31.0511:00,Platense II,0,0,Argentinos Juniors II,0
27.0514:00,San Lorenzo II,1,0,Barracas II,1
27.0512:30,River Plate II,1,4,Velez II,5
27.0511:00,Racing II,2,1,Defensa y Justicia II,3
27.0511:00,Lanus II,1,0,Independiente II,1
26.0511:00,Tigre II,2,0,Boca Juniors II,2
25.0511:00,Rosario Central II,4,2,Banfield II,6
25.0511:00,Sarmiento II,2,0,Gimnasia II,2
25.0511:00,Argentinos Juniors II,4,1,Talleres II,5
24.0513:00,Godoy Cruz II,0,1,Newells II,1
24.0511:00,Central Cordoba II,1,2,Colon II,3
24.0511:00,Belgrano II,2,2,Platense II,4
24.0511:00,Arsenal II,4,0,Atletico Tucuman II,4
24.0511:00,Estudiantes II,2,1,Instituto II,3
24.0511:00,Union II,1,2,Huracan II,3
19.0511:00,Union II,1,1,Central Cordoba II,2
19.0511:00,Huracan II,2,2,Sarmiento II,4
19.0511:00,Platense II,1,1,River Plate II,2
19.0511:00,Atletico Tucuman II,1,0,Tigre II,1
18.0519:00,Talleres II,4,1,Belgrano II,5
18.0511:00,Instituto II,1,2,San Lorenzo II,3
18.0511:00,Independiente II,1,1,Arsenal II,2
18.0511:00,Barracas II,3,1,Colon II,4
18.0511:00,Defensa y Justicia II,1,3,Rosario Central II,4
17.0520:00,Boca Juniors II,2,1,Argentinos Juniors II,3
17.0511:00,Gimnasia II,1,0,Godoy Cruz II,1
17.0511:00,Newells II,0,0,Lanus II,0
17.0511:00,Banfield II,2,1,Estudiantes II,3
14.0511:00,Sarmiento II,1,2,Union II,3
13.0511:00,River Plate II,3,0,Talleres II,3
12.0511:00,Racing II,0,0,Platense II,0
12.0511:00,Rosario Central II,1,4,Velez II,5
12.0511:00,Belgrano II,1,0,Boca Juniors II,1
12.0511:00,Argentinos Juniors II,3,0,Atletico Tucuman II,3
12.0511:00,Tigre II,2,0,Independiente II,2
12.0511:00,Colon II,1,1,Instituto II,2
11.0511:00,Estudiantes II,4,1,Defensa y Justicia II,5
11.0511:00,San Lorenzo II,1,0,Banfield II,1
11.0511:00,Lanus II,0,1,Gimnasia II,1
11.0511:00,Arsenal II,0,2,Newells II,2
11.0511:00,Godoy Cruz II,1,4,Huracan II,5
10.0511:00,Central Cordoba II,2,0,Barracas II,2
07.0511:00,Platense II,0,0,Rosario Central II,0
07.0511:00,Instituto II,1,0,Barracas II,1
07.0511:00,Talleres II,1,2,Racing II,3
07.0511:00,Independiente II,2,0,Argentinos Juniors II,2
06.0511:00,Boca Juniors II,0,0,River Plate II,0
05.0511:00,Gimnasia II,0,2,Arsenal II,2
05.0511:00,Atletico Tucuman II,0,1,Belgrano II,1
05.0511:00,Defensa y Justicia II,2,1,San Lorenzo II,3
05.0511:00,Union II,1,1,Godoy Cruz II,2
05.0511:00,Huracan II,2,1,Lanus II,3
04.0511:00,Velez II,2,0,Estudiantes II,2
04.0511:00,Newells II,4,0,Tigre II,4
04.0511:00,Banfield II,2,1,Colon II,3
04.0511:00,Sarmiento II,0,2,Central Cordoba II,2
30.0411:00,Arsenal II,2,1,Huracan II,3
30.0411:00,Belgrano II,0,1,Independiente II,1
30.0411:00,Lanus II,2,0,Union II,2
29.0411:00,Central Cordoba II,3,1,Instituto II,4
29.0411:00,Racing II,0,0,Boca Juniors II,0
28.0411:00,Barracas II,2,2,Banfield II,4
28.0411:00,San Lorenzo II,1,1,Velez II,2
28.0411:00,Estudiantes II,3,0,Platense II,3
28.0411:00,Argentinos Juniors II,1,0,Newells II,1
28.0411:00,Tigre II,1,0,Gimnasia II,1
28.0411:00,Godoy Cruz II,1,0,Sarmiento II,1
27.0411:00,Colon II,2,2,Defensa y Justicia II,4
27.0411:00,Rosario Central II,1,3,Talleres II,4
27.0411:00,River Plate II,2,1,Atletico Tucuman II,3
