03.0610:00,Rahmatgonj MFS,0,2,Bangladesh Police,2
03.0610:00,Fortis,1,1,Chittagong Abrahani,2
02.0611:00,Bashundara Kings,2,1,Mohammedan,3
02.0610:00,Azampur Uttara,1,1,Sheikh Russel,2
02.0610:00,Abahani Limited,3,0,Sheikh Jamal,3
27.0510:00,Muktijoddha Sangsad,1,2,Rahmatgonj MFS,3
27.0510:00,Bangladesh Police,4,2,Fortis,6
26.0510:00,Sheikh Russel,4,6,Bashundara Kings,10
26.0510:00,Mohammedan,1,1,Abahani Limited,2
26.0510:00,Chittagong Abrahani,1,0,Azampur Uttara,1
20.0510:00,Fortis,2,0,Muktijoddha Sangsad,2
20.0510:00,Azampur Uttara,0,7,Bangladesh Police,7
19.0510:00,Sheikh Jamal,0,1,Mohammedan,1
19.0510:00,Bashundara Kings,2,0,Chittagong Abrahani,2
19.0510:00,Abahani Limited,3,1,Sheikh Russel,4
13.0510:00,Rahmatgonj MFS,1,1,Fortis,2
13.0510:00,Muktijoddha Sangsad,1,1,Azampur Uttara,2
12.0510:00,Bangladesh Police,2,1,Bashundara Kings,3
12.0510:00,Chittagong Abrahani,3,2,Abahani Limited,5
12.0510:00,Sheikh Russel,0,0,Sheikh Jamal,0
06.0510:00,Mohammedan,1,2,Sheikh Russel,3
06.0510:00,Azampur Uttara,2,3,Rahmatgonj MFS,5
05.0510:00,Bashundara Kings,4,0,Muktijoddha Sangsad,4
05.0510:00,Sheikh Jamal,2,2,Chittagong Abrahani,4
05.0510:00,Abahani Limited,4,1,Bangladesh Police,5
29.0409:45,Chittagong Abrahani,1,2,Mohammedan,3
29.0409:45,Fortis,4,0,Azampur Uttara,4
28.0409:45,Muktijoddha Sangsad,1,0,Abahani Limited,1
28.0409:45,Bangladesh Police,1,2,Sheikh Jamal,3
28.0409:45,Rahmatgonj MFS,0,4,Bashundara Kings,4
15.0409:15,Bashundara Kings,4,1,Fortis,5
15.0409:15,Mohammedan,1,1,Bangladesh Police,2
14.0409:15,Abahani Limited,4,0,Rahmatgonj MFS,4
14.0409:15,Sheikh Jamal,1,1,Muktijoddha Sangsad,2
14.0409:15,Sheikh Russel,2,2,Chittagong Abrahani,4
08.0409:15,Bangladesh Police,1,3,Sheikh Russel,4
08.0409:15,Muktijoddha Sangsad,1,6,Mohammedan,7
07.0409:15,Azampur Uttara,1,1,Bashundara Kings,2
07.0409:15,Fortis,0,2,Abahani Limited,2
25.0209:15,Muktijoddha Sangsad,1,0,Sheikh Russel,1
25.0209:15,Bangladesh Police,1,1,Chittagong Abrahani,2
24.0209:15,Azampur Uttara,0,7,Abahani Limited,7
24.0209:15,Fortis,1,1,Sheikh Jamal,2
24.0209:15,Rahmatgonj MFS,0,1,Mohammedan,1
18.0209:15,Sheikh Russel,1,1,Rahmatgonj MFS,2
18.0209:15,Chittagong Abrahani,2,0,Muktijoddha Sangsad,2
18.0209:15,Mohammedan,3,4,Fortis,7
17.0209:15,Abahani Limited,1,2,Bashundara Kings,3
17.0209:15,Sheikh Jamal,3,3,Azampur Uttara,6
11.0209:15,Bashundara Kings,3,0,Sheikh Jamal,3
11.0209:15,Rahmatgonj MFS,1,0,Chittagong Abrahani,1
11.0209:15,Muktijoddha Sangsad,0,1,Bangladesh Police,1
10.0209:15,Azampur Uttara,0,6,Mohammedan,6
10.0209:15,Fortis,0,1,Sheikh Russel,1
04.0209:15,Bangladesh Police,2,0,Rahmatgonj MFS,2
04.0209:15,Sheikh Jamal,1,2,Abahani Limited,3
04.0209:15,Sheikh Russel,1,0,Azampur Uttara,1
03.0209:15,Mohammedan,0,1,Bashundara Kings,1
03.0209:15,Chittagong Abrahani,0,0,Fortis,0
28.0109:00,Bashundara Kings,3,1,Sheikh Russel,4
28.0109:00,Fortis,1,1,Bangladesh Police,2
27.0109:00,Azampur Uttara,1,1,Chittagong Abrahani,2
27.0109:00,Rahmatgonj MFS,0,2,Muktijoddha Sangsad,2
27.0109:00,Abahani Limited,2,0,Mohammedan,2
21.0109:00,Chittagong Abrahani,0,3,Bashundara Kings,3
21.0109:00,Muktijoddha Sangsad,1,1,Fortis,2
20.0109:00,Mohammedan,1,1,Sheikh Jamal,2
20.0109:00,Sheikh Russel,2,2,Abahani Limited,4
20.0109:00,Bangladesh Police,4,0,Azampur Uttara,4
14.0108:45,Sheikh Jamal,3,2,Sheikh Russel,5
14.0108:45,Fortis,0,0,Rahmatgonj MFS,0
13.0108:45,Bashundara Kings,1,0,Bangladesh Police,1
13.0108:45,Abahani Limited,5,1,Chittagong Abrahani,6
13.0108:45,Azampur Uttara,0,1,Muktijoddha Sangsad,1
07.0108:45,Bangladesh Police,0,0,Abahani Limited,0
07.0108:45,Rahmatgonj MFS,1,0,Azampur Uttara,1
06.0108:45,Muktijoddha Sangsad,1,3,Bashundara Kings,4
06.0108:45,Chittagong Abrahani,1,1,Sheikh Jamal,2
06.0108:45,Sheikh Russel,2,0,Mohammedan,2
31.1208:30,Mohammedan,2,2,Chittagong Abrahani,4
31.1208:30,Bashundara Kings,2,0,Rahmatgonj MFS,2
31.1208:30,Azampur Uttara,0,1,Fortis,1
30.1208:30,Abahani Limited,3,2,Muktijoddha Sangsad,5
30.1208:30,Sheikh Jamal,1,0,Bangladesh Police,1
24.1208:30,Rahmatgonj MFS,1,2,Abahani Limited,3
