11.0711:35,Shandong Taishan,3,0,Shanghai Shenhua,3
11.0711:35,Chengdu Rongcheng,2,0,Henan Songshan Longmen,2
11.0711:35,Cangzhou,1,1,Tianjin Jinmen Tiger,2
08.0711:35,Beijing Guoan,5,0,Shenzhen,5
08.0711:35,Wuhan Three Towns,2,1,Changchun Yatai,3
08.0711:35,Shanghai Port,1,1,Dalian Pro,2
07.0711:35,Qingdao Hainiu,1,1,Cangzhou,2
07.0711:35,Zhejiang Professional,0,1,Shanghai Shenhua,1
07.0711:35,Henan Songshan Longmen,0,1,Shandong Taishan,1
07.0711:35,Meizhou Hakka,3,1,Chengdu Rongcheng,4
07.0711:35,Tianjin Jinmen Tiger,1,1,Nantong Zhiyun,2
03.0711:35,Shenzhen,1,3,Wuhan Three Towns,4
03.0711:35,Shandong Taishan,1,1,Shanghai Port,2
03.0711:35,Chengdu Rongcheng,0,1,Beijing Guoan,1
03.0711:35,Changchun Yatai,3,1,Henan Songshan Longmen,4
02.0711:35,Dalian Pro,1,1,Qingdao Hainiu,2
02.0711:35,Cangzhou,2,1,Zhejiang Professional,3
02.0711:35,Nantong Zhiyun,2,2,Meizhou Hakka,4
02.0709:30,Shanghai Shenhua,1,2,Tianjin Jinmen Tiger,3
29.0611:35,Beijing Guoan,1,2,Shanghai Port,3
29.0611:35,Shandong Taishan,4,1,Changchun Yatai,5
29.0611:35,Shenzhen,0,3,Chengdu Rongcheng,3
28.0611:35,Wuhan Three Towns,0,0,Dalian Pro,0
28.0611:35,Zhejiang Professional,3,0,Meizhou Hakka,3
28.0611:35,Shanghai Shenhua,1,0,Nantong Zhiyun,1
28.0611:35,Tianjin Jinmen Tiger,3,2,Qingdao Hainiu,5
28.0611:35,Cangzhou,0,1,Henan Songshan Longmen,1
09.0611:35,Shanghai Port,2,1,Nantong Zhiyun,3
09.0611:35,Wuhan Three Towns,1,1,Shandong Taishan,2
09.0611:35,Meizhou Hakka,2,3,Cangzhou,5
09.0611:35,Dalian Pro,2,2,Beijing Guoan,4
09.0609:30,Henan Songshan Longmen,2,2,Zhejiang Professional,4
08.0611:35,Changchun Yatai,4,1,Shenzhen,5
08.0611:35,Chengdu Rongcheng,0,0,Tianjin Jinmen Tiger,0
08.0611:35,Qingdao Hainiu,0,1,Shanghai Shenhua,1
04.0611:35,Tianjin Jinmen Tiger,1,1,Wuhan Three Towns,2
04.0609:30,Nantong Zhiyun,1,0,Qingdao Hainiu,1
04.0607:30,Cangzhou,0,1,Shanghai Shenhua,1
03.0611:35,Shandong Taishan,2,0,Dalian Pro,2
03.0611:35,Henan Songshan Longmen,2,1,Meizhou Hakka,3
03.0609:30,Shanghai Port,0,1,Chengdu Rongcheng,1
02.0611:35,Zhejiang Professional,3,0,Shenzhen,3
02.0611:35,Beijing Guoan,4,3,Changchun Yatai,7
29.0511:35,Changchun Yatai,0,3,Shanghai Port,3
28.0511:35,Shanghai Shenhua,1,1,Henan Songshan Longmen,2
28.0511:35,Shenzhen,3,2,Meizhou Hakka,5
28.0511:35,Dalian Pro,0,1,Tianjin Jinmen Tiger,1
28.0509:30,Zhejiang Professional,3,2,Beijing Guoan,5
28.0509:30,Qingdao Hainiu,0,1,Shandong Taishan,1
27.0511:35,Cangzhou,2,1,Wuhan Three Towns,3
27.0507:00,Chengdu Rongcheng,1,0,Nantong Zhiyun,1
24.0511:35,Shandong Taishan,3,0,Shenzhen,3
24.0511:35,Shanghai Port,3,2,Henan Songshan Longmen,5
24.0511:35,Meizhou Hakka,1,1,Tianjin Jinmen Tiger,2
24.0511:35,Dalian Pro,1,2,Zhejiang Professional,3
23.0511:35,Beijing Guoan,6,2,Cangzhou,8
23.0511:35,Chengdu Rongcheng,2,1,Shanghai Shenhua,3
23.0511:35,Changchun Yatai,1,0,Qingdao Hainiu,1
23.0511:35,Nantong Zhiyun,0,5,Wuhan Three Towns,5
20.0511:35,Henan Songshan Longmen,1,0,Dalian Pro,1
20.0511:35,Tianjin Jinmen Tiger,3,3,Shandong Taishan,6
20.0511:35,Meizhou Hakka,0,2,Shanghai Port,2
19.0511:35,Shanghai Shenhua,1,1,Beijing Guoan,2
19.0511:35,Cangzhou,2,4,Changchun Yatai,6
19.0511:35,Qingdao Hainiu,2,2,Zhejiang Professional,4
19.0511:35,Nantong Zhiyun,1,1,Shenzhen,2
19.0509:30,Wuhan Three Towns,3,3,Chengdu Rongcheng,6
15.0511:35,Beijing Guoan,1,0,Nantong Zhiyun,1
14.0511:35,Zhejiang Professional,1,2,Shanghai Port,3
14.0511:35,Tianjin Jinmen Tiger,1,0,Henan Songshan Longmen,1
14.0511:35,Cangzhou,1,1,Shandong Taishan,2
14.0509:30,Chengdu Rongcheng,2,2,Changchun Yatai,4
14.0507:30,Qingdao Hainiu,2,0,Meizhou Hakka,2
13.0511:35,Shenzhen,2,1,Dalian Pro,3
13.0507:30,Shanghai Shenhua,1,1,Wuhan Three Towns,2
10.0511:35,Changchun Yatai,2,4,Meizhou Hakka,6
10.0511:35,Nantong Zhiyun,1,2,Zhejiang Professional,3
10.0511:35,Shanghai Port,2,1,Qingdao Hainiu,3
10.0511:35,Beijing Guoan,1,1,Tianjin Jinmen Tiger,2
09.0511:35,Henan Songshan Longmen,1,1,Wuhan Three Towns,2
09.0511:35,Dalian Pro,1,1,Cangzhou,2
09.0511:35,Shenzhen,1,3,Shanghai Shenhua,4
06.0511:35,Chengdu Rongcheng,3,2,Qingdao Hainiu,5
06.0511:35,Tianjin Jinmen Tiger,0,0,Shanghai Port,0
06.0511:35,Nantong Zhiyun,0,1,Changchun Yatai,1
