15.0707:00,Vanraure,1,2,Ehime,3
15.0706:00,Sagamihara,3,2,Nara Club,5
15.0706:00,Kataller Toyama,1,0,Ryukyu,1
15.0706:00,Kamatamare Sanuki,2,1,Tegevajaro Miyazaki,3
15.0706:00,Gifu,2,2,Imabari,4
09.0707:00,Ehime,4,3,Kataller Toyama,7
09.0706:00,Osaka,1,0,Sagamihara,1
09.0706:00,Kagoshima United,3,1,Fukushima United,4
09.0703:00,Nara Club,1,0,Gifu,1
08.0707:00,Vanraure,4,0,Nagano,4
08.0707:00,Imabari,1,1,Azul Claro Numazu,2
08.0706:30,Ryukyu,2,1,Yamaga,3
08.0706:00,Grulla Morioka,0,1,Giravanz Kitakyushu,1
08.0705:00,YSCC,1,2,Kamatamare Sanuki,3
08.0705:00,Tegevajaro Miyazaki,0,2,Gainare Tottori,2
02.0707:00,Gifu,0,0,Grulla Morioka,0
02.0704:00,Kamatamare Sanuki,1,2,Ryukyu,3
01.0707:00,Gainare Tottori,2,2,Osaka,4
01.0707:00,Fukushima United,0,5,Nara Club,5
01.0706:00,Yamaga,1,1,Ehime,2
01.0706:00,Nagano,0,4,Imabari,4
01.0706:00,Sagamihara,0,1,Vanraure,1
01.0706:00,Kataller Toyama,0,2,Kagoshima United,2
01.0705:00,Azul Claro Numazu,2,1,Giravanz Kitakyushu,3
01.0705:00,Tegevajaro Miyazaki,1,1,YSCC,2
24.0607:00,Fukushima United,0,2,Gifu,2
24.0607:00,Kagoshima United,0,1,Gainare Tottori,1
24.0606:30,Ryukyu,0,3,Tegevajaro Miyazaki,3
24.0606:00,Grulla Morioka,1,0,Yamaga,1
24.0606:00,Kataller Toyama,2,1,Vanraure,3
24.0606:00,Ehime,2,1,Sagamihara,3
24.0606:00,Imabari,2,0,Kamatamare Sanuki,2
24.0606:00,Giravanz Kitakyushu,1,1,Nagano,2
24.0605:00,YSCC,0,0,Osaka,0
24.0603:00,Nara Club,0,2,Azul Claro Numazu,2
18.0607:00,Gifu,2,1,Sagamihara,3
18.0605:00,Osaka,3,0,Ryukyu,3
18.0602:00,Vanraure,0,3,Fukushima United,3
18.0602:00,Nagano,1,2,Kagoshima United,3
18.0602:00,Azul Claro Numazu,3,1,YSCC,4
17.0607:00,Gainare Tottori,0,1,Giravanz Kitakyushu,1
17.0606:00,Grulla Morioka,1,2,Kataller Toyama,3
17.0606:00,Yamaga,2,0,Kamatamare Sanuki,2
17.0606:00,Ehime,1,0,Nara Club,1
17.0605:00,Tegevajaro Miyazaki,1,1,Imabari,2
11.0606:00,Sagamihara,1,1,Tegevajaro Miyazaki,2
11.0606:00,Nagano,1,2,Ryukyu,3
11.0606:00,Imabari,0,2,Yamaga,2
11.0604:00,Kamatamare Sanuki,1,0,Grulla Morioka,1
