18.0602:00,Setagaya Sfida,2,1,Takatsuki Speranza,3
18.0602:00,Yamato Sylphid,0,4,Yokohama FC W,4
18.0601:00,Harima Albion,0,2,Shizuoka Bonita,2
17.0602:00,Kunoichi,2,1,Ehime,3
17.0601:00,NGU Nagoya,3,1,Gunma ,4
17.0601:00,Nittaidai,0,0,Kamogawa,0
11.0601:00,Kamogawa,1,1,Setagaya Sfida,2
11.0601:00,Shizuoka Bonita,0,0,Nittaidai,0
11.0601:00,Yokohama FC W,0,1,Kunoichi,1
10.0601:00,Gunma ,5,0,Harima Albion,5
10.0601:00,Ehime,0,3,NGU Nagoya,3
10.0601:00,Takatsuki Speranza,2,1,Yamato Sylphid,3
28.0501:00,Kamogawa,1,1,Ehime,2
28.0501:00,Nittaidai,1,3,Yokohama FC W,4
28.0501:00,Kunoichi,0,0,Setagaya Sfida,0
28.0501:00,Yamato Sylphid,0,1,NGU Nagoya,1
27.0501:00,Gunma ,2,1,Shizuoka Bonita,3
27.0501:00,Harima Albion,3,1,Takatsuki Speranza,4
21.0502:00,Setagaya Sfida,0,0,Gunma ,0
21.0501:00,Harima Albion,1,1,Yamato Sylphid,2
21.0501:00,Yokohama FC W,1,2,Kamogawa,3
20.0501:00,NGU Nagoya,3,2,Kunoichi,5
20.0501:00,Shizuoka Bonita,1,3,Ehime,4
20.0500:00,Nittaidai,1,0,Takatsuki Speranza,1
14.0502:00,Setagaya Sfida,2,1,NGU Nagoya,3
14.0501:00,Yokohama FC W,2,1,Shizuoka Bonita,3
14.0501:00,Kamogawa,1,0,Takatsuki Speranza,1
14.0501:00,Kunoichi,0,0,Harima Albion,0
13.0506:30,Yamato Sylphid,1,5,Nittaidai,6
13.0501:00,Ehime,1,1,Gunma ,2
07.0501:00,Kamogawa,5,0,Yamato Sylphid,5
06.0501:00,Harima Albion,2,2,NGU Nagoya,4
06.0501:00,Ehime,1,1,Setagaya Sfida,2
06.0501:00,Gunma ,2,2,Yokohama FC W,4
06.0501:00,Shizuoka Bonita,1,0,Takatsuki Speranza,1
06.0501:00,Nittaidai,0,2,Kunoichi,2
30.0402:00,Setagaya Sfida,3,0,Harima Albion,3
30.0401:00,Yamato Sylphid,2,1,Shizuoka Bonita,3
30.0401:00,Kunoichi,2,1,Kamogawa,3
30.0401:00,NGU Nagoya,0,1,Nittaidai,1
30.0401:00,Takatsuki Speranza,3,1,Gunma ,4
29.0401:00,Yokohama FC W,2,1,Ehime,3
23.0401:00,Yokohama FC W,3,0,Setagaya Sfida,3
23.0401:00,Kamogawa,0,1,NGU Nagoya,1
23.0400:00,Nittaidai,1,2,Harima Albion,3
22.0401:00,Gunma ,3,1,Yamato Sylphid,4
22.0401:00,Shizuoka Bonita,0,0,Kunoichi,0
22.0401:00,Ehime,1,0,Takatsuki Speranza,1
16.0402:00,Setagaya Sfida,1,1,Nittaidai,2
16.0401:00,Kunoichi,1,1,Gunma ,2
16.0401:00,Yamato Sylphid,2,2,Ehime,4
16.0401:00,Harima Albion,0,2,Kamogawa,2
15.0401:00,Takatsuki Speranza,1,2,Yokohama FC W,3
15.0401:00,NGU Nagoya,6,1,Shizuoka Bonita,7
09.0401:00,Takatsuki Speranza,1,3,Setagaya Sfida,4
09.0401:00,Kamogawa,1,1,Nittaidai,2
09.0401:00,Ehime,0,2,Kunoichi,2
09.0401:00,Gunma ,0,2,NGU Nagoya,2
09.0401:00,Yokohama FC W,3,1,Yamato Sylphid,4
08.0401:00,Shizuoka Bonita,1,2,Harima Albion,3
02.0402:00,Setagaya Sfida,2,3,Kamogawa,5
02.0401:00,Nittaidai,2,3,Shizuoka Bonita,5
02.0401:00,Kunoichi,1,2,Yokohama FC W,3
02.0401:00,Yamato Sylphid,3,2,Takatsuki Speranza,5
02.0401:00,Harima Albion,3,1,Gunma ,4
01.0401:00,NGU Nagoya,0,0,Ehime,0
26.0301:00,Shizuoka Bonita,1,2,Kamogawa,3
26.0300:00,Takatsuki Speranza,0,3,Kunoichi,3
25.0302:00,Yamato Sylphid,0,3,Setagaya Sfida,3
25.0301:00,Yokohama FC W,1,0,NGU Nagoya,1
25.0301:00,Gunma ,1,1,Nittaidai,2
25.0301:00,Ehime,1,2,Harima Albion,3
19.0301:00,Kunoichi,7,0,Yamato Sylphid,7
19.0301:00,Kamogawa,2,0,Gunma ,2
19.0301:00,Setagaya Sfida,1,1,Shizuoka Bonita,2
18.0303:00,Harima Albion,1,1,Yokohama FC W,2
18.0301:00,NGU Nagoya,2,1,Takatsuki Speranza,3
18.0300:00,Nittaidai,4,1,Ehime,5
16.1001:00,Gunma ,1,1,Setagaya Sfida,2
16.1001:00,Takatsuki Speranza,0,2,Yokohama FC W,2
16.1001:00,Angeviolet Hiroshima,0,1,Cerezo Osaka,1
16.1001:00,Harima Albion,3,2,Kunoichi,5
16.1001:00,Kamogawa,3,1,Ehime,4
16.1001:00,NGU Nagoya,1,1,Nittaidai,2
11.1001:00,Kamogawa,3,1,Nittaidai,4
10.1001:00,Yokohama FC W,1,2,NGU Nagoya,3
09.1001:00,Kunoichi,5,1,Gunma ,6
08.1002:00,Setagaya Sfida,4,2,Kamogawa,6
08.1001:00,Cerezo Osaka,0,0,Takatsuki Speranza,0
08.1001:00,Ehime,0,1,Angeviolet Hiroshima,1
07.1023:00,Harima Albion,2,1,Nittaidai,3
05.1006:00,Nittaidai,3,0,Angeviolet Hiroshima,3
02.1002:00,Kunoichi,1,2,Setagaya Sfida,3
02.1001:00,Harima Albion,3,0,NGU Nagoya,3
02.1001:00,Angeviolet Hiroshima,1,1,Yokohama FC W,2
02.1001:00,Ehime,0,0,Gunma ,0
01.1001:00,Takatsuki Speranza,1,0,Nittaidai,1
01.1001:00,Kamogawa,3,3,Cerezo Osaka,6
25.0902:00,Setagaya Sfida,2,1,Ehime,3
25.0901:00,Gunma ,1,0,Cerezo Osaka,1
25.0901:00,Yokohama FC W,1,0,Kamogawa,1
24.0901:00,Takatsuki Speranza,0,1,Harima Albion,1
24.0901:00,NGU Nagoya,1,1,Kunoichi,2
18.0905:00,Cerezo Osaka,1,2,Setagaya Sfida,3
18.0901:00,Harima Albion,6,1,Angeviolet Hiroshima,7
17.0901:00,Yokohama,3,0,Gunma ,3
17.0901:00,NGU Nagoya,3,1,Takatsuki Speranza,4
17.0901:00,Ehime,1,1,Kunoichi,2
11.0904:00,Setagaya Sfida,4,0,Yokohama FC W,4
11.0902:00,Kunoichi,1,0,Takatsuki Speranza,1
11.0902:00,Angeviolet Hiroshima,0,2,NGU Nagoya,2
11.0901:00,Kamogawa,0,1,Harima Albion,1
10.0902:30,Ehime,1,1,Cerezo Osaka,2
10.0902:00,Gunma ,0,1,Nittaidai,1
04.0904:00,Takatsuki Speranza,3,2,Angeviolet Hiroshima,5
04.0903:00,Yokohama FC W,0,0,Ehime,0
04.0903:00,Harima Albion,3,1,Gunma ,4
03.0906:00,Cerezo Osaka,2,3,Kunoichi,5
03.0903:00,NGU Nagoya,1,2,Kamogawa,3
03.0902:00,Nittaidai,0,1,Setagaya Sfida,1
27.0803:00,Yokohama FC W,2,4,Cerezo Osaka,6
09.0704:00,Kunoichi,1,0,Cerezo Osaka,1
09.0703:00,Nittaidai,1,0,Ehime,1
03.0705:00,Kunoichi,4,0,Angeviolet Hiroshima,4
03.0703:00,Kamogawa,2,0,Takatsuki Speranza,2
03.0703:00,Ehime,2,3,Nittaidai,5
02.0704:00,Setagaya Sfida,1,2,Harima Albion,3
02.0703:00,Gunma ,2,1,NGU Nagoya,3
02.0703:00,Cerezo Osaka,3,0,Yokohama FC W,3
19.0603:00,Yokohama FC W,0,1,Kunoichi,1
