04.0608:00,Tuv Buganuud,1,7,FC Ulaanbaatar,8
04.0605:00,Deren,3,0,Ulaanbaatar City,3
03.0608:00,Falcons,3,1,Khoromkhon,4
03.0605:00,Khovd,2,2,Khangarid,4
03.0602:00,BCH Lions,0,11,Khaan Khuns-Erchim,11
28.0508:00,FC Ulaanbaatar,4,2,Deren,6
28.0505:00,Ulaanbaatar City,1,0,Falcons,1
27.0508:00,Khaan Khuns-Erchim,2,4,Tuv Buganuud,6
27.0505:00,Khangarid,5,3,BCH Lions,8
27.0502:00,Khoromkhon,1,5,Khovd,6
21.0508:00,Falcons,1,1,FC Ulaanbaatar,2
21.0505:00,Tuv Buganuud,3,2,Deren,5
20.0508:00,Khaan Khuns-Erchim,0,2,Khangarid,2
20.0505:00,BCH Lions,3,4,Khoromkhon,7
20.0502:00,Khovd,4,3,Ulaanbaatar City,7
18.0505:00,Deren,0,2,Falcons,2
18.0502:00,Khangarid,3,5,Tuv Buganuud,8
17.0505:00,Khoromkhon,2,3,Khaan Khuns-Erchim,5
17.0502:00,Ulaanbaatar City,12,3,BCH Lions,15
16.0523:00,FC Ulaanbaatar,2,0,Khovd,2
14.0508:00,Khaan Khuns-Erchim,1,2,Ulaanbaatar City,3
14.0505:00,Tuv Buganuud,1,5,Falcons,6
13.0508:00,Khovd,3,0,Deren,3
13.0505:00,BCH Lions,0,6,FC Ulaanbaatar,6
13.0502:00,Khangarid,2,0,Khoromkhon,2
07.0508:00,FC Ulaanbaatar,5,1,Khaan Khuns-Erchim,6
07.0505:00,Khovd,3,0,Falcons,3
07.0502:00,Ulaanbaatar City,1,2,Khangarid,3
06.0508:00,Deren,5,0,BCH Lions,5
06.0505:00,Khoromkhon,0,4,Tuv Buganuud,4
04.0505:00,Ulaanbaatar City,5,1,Khoromkhon,6
04.0502:00,FC Ulaanbaatar,6,0,Khangarid,6
03.0505:00,Tuv Buganuud,2,5,Khovd,7
03.0502:00,Falcons,0,2,BCH Lions,2
02.0505:00,Deren,5,0,Khaan Khuns-Erchim,5
30.0407:00,Khoromkhon,1,6,FC Ulaanbaatar,7
30.0404:00,Ulaanbaatar City,4,0,Tuv Buganuud,4
29.0407:00,BCH Lions,0,8,Khovd,8
29.0404:00,Khangarid,0,3,Deren,3
29.0401:00,Khaan Khuns-Erchim,1,4,Falcons,5
27.0408:40,FC Ulaanbaatar,1,0,Ulaanbaatar City,1
26.0408:40,Tuv Buganuud,6,1,BCH Lions,7
25.0408:40,Khovd,2,1,Khaan Khuns-Erchim,3
23.0408:30,Falcons,2,3,Khangarid,5
22.0408:30,Deren,0,0,Khoromkhon,0
20.0405:00,Khangarid,1,3,Khovd,4
20.0402:00,FC Ulaanbaatar,3,1,Tuv Buganuud,4
19.0405:00,Ulaanbaatar City,4,3,Deren,7
19.0402:00,Khoromkhon,1,3,Falcons,4
18.0405:00,Khaan Khuns-Erchim,4,0,BCH Lions,4
16.0407:00,Deren,1,0,FC Ulaanbaatar,1
16.0404:00,Falcons,3,2,Ulaanbaatar City,5
15.0407:00,Tuv Buganuud,2,1,Khaan Khuns-Erchim,3
15.0404:00,BCH Lions,0,5,Khangarid,5
15.0401:00,Khovd,7,2,Khoromkhon,9
12.0405:00,Khoromkhon,5,0,Ulaanbaatar City,5
12.0402:00,Khovd,4,5,Tuv Buganuud,9
09.0407:00,FC Ulaanbaatar,1,0,Falcons,1
09.0404:00,Deren,3,1,Tuv Buganuud,4
08.0407:00,Khangarid,3,3,Khaan Khuns-Erchim,6
08.0404:00,Khoromkhon,4,1,BCH Lions,5
08.0401:00,Ulaanbaatar City,0,1,Khovd,1
06.0404:00,Falcons,3,3,Deren,6
03.0404:00,Khaan Khuns-Erchim,6,1,Khoromkhon,7
03.0401:00,Tuv Buganuud,2,3,Khangarid,5
01.0407:00,BCH Lions,0,6,Ulaanbaatar City,6
01.0404:00,Khovd,0,2,FC Ulaanbaatar,2
16.0305:00,Ulaanbaatar City,0,0,Khaan Khuns-Erchim,0
16.0302:00,Deren,1,2,Khovd,3
15.0305:00,FC Ulaanbaatar,9,1,BCH Lions,10
15.0302:00,Falcons,6,1,Tuv Buganuud,7
14.0305:00,Khoromkhon,1,3,Khangarid,4
12.0304:00,Falcons,3,1,Khovd,4
12.0301:00,BCH Lions,0,9,Deren,9
11.0306:00,Khaan Khuns-Erchim,0,4,FC Ulaanbaatar,4
11.0303:00,Khangarid,0,0,Ulaanbaatar City,0
11.0300:00,Tuv Buganuud,1,2,Khoromkhon,3
04.1104:00,Khangarid,0,10,FC Ulaanbaatar,10
29.1008:00,BCH Lions,1,1,Falcons,2
29.1005:00,Khaan Khuns-Erchim,2,3,Deren,5
23.1008:00,FC Ulaanbaatar,4,0,Khoromkhon,4
23.1005:00,Tuv Buganuud,8,2,Ulaanbaatar City,10
23.1002:00,Khovd,6,1,BCH Lions,7
22.1008:00,Deren,10,0,Khangarid,10
22.1005:00,Falcons,1,0,Khaan Khuns-Erchim,1
16.1008:00,BCH Lions,2,10,Tuv Buganuud,12
16.1005:00,Ulaanbaatar City,0,3,FC Ulaanbaatar,3
16.1002:00,Khoromkhon,1,1,Deren,2
15.1008:00,Khangarid,1,7,Falcons,8
