13.0713:00,Legion,0,6,Flora II,6
08.0709:30,FC Tallinn,3,2,Legion,5
08.0709:00,FC Alliance,1,3,Flora II,4
08.0709:00,Levadia II,2,4,Viimsi JK,6
08.0708:30,Tabasalu,4,0,Elva,4
08.0706:30,Nomme United,0,0,Paide Linnameeskond II,0
04.0713:00,Flora II,2,1,FC Tallinn,3
03.0713:00,Viimsi JK,0,1,Nomme United,1
02.0709:00,Elva,3,0,FC Alliance,3
02.0709:00,Paide Linnameeskond II,0,1,Tabasalu,1
02.0706:30,Legion,0,0,Levadia II,0
29.0613:00,Tabasalu,1,5,FC Tallinn,6
29.0613:00,Legion,0,3,Viimsi JK,3
29.0612:00,FC Alliance,0,6,Nomme United,6
29.0612:00,Elva,0,3,Paide Linnameeskond II,3
12.0613:00,Levadia II,2,0,Paide Linnameeskond II,2
11.0606:00,Nomme United,2,0,Flora II,2
10.0609:30,FC Tallinn,3,1,Elva,4
10.0609:00,FC Alliance,1,0,Legion,1
10.0608:30,Viimsi JK,1,1,Tabasalu,2
08.0613:00,Levadia II,1,2,Flora II,3
04.0613:00,Nomme United,3,0,Tabasalu,3
04.0611:00,Elva,1,2,Levadia II,3
04.0606:30,FC Tallinn,5,0,FC Alliance,5
04.0606:30,Paide Linnameeskond II,2,2,Viimsi JK,4
29.0513:00,FC Alliance,2,6,Levadia II,8
29.0513:00,Paide Linnameeskond II,0,1,FC Tallinn,1
29.0513:00,Elva,0,2,Nomme United,2
28.0513:00,Flora II,3,1,Viimsi JK,4
28.0506:30,Tabasalu,2,0,Legion,2
25.0513:00,Levadia II,1,2,Legion,3
25.0513:00,Viimsi JK,4,0,FC Tallinn,4
25.0513:00,Nomme United,4,2,Paide Linnameeskond II,6
25.0512:00,Tabasalu,5,2,FC Alliance,7
25.0512:00,Flora II,2,1,Elva,3
21.0513:00,Elva,2,3,Tabasalu,5
20.0509:30,FC Tallinn,1,3,Levadia II,4
20.0509:00,Paide Linnameeskond II,0,1,Flora II,1
20.0509:00,Legion,0,6,Nomme United,6
20.0509:00,Viimsi JK,3,1,FC Alliance,4
15.0513:00,Tabasalu,0,1,Flora II,1
15.0513:00,Viimsi JK,1,1,Levadia II,2
14.0506:30,FC Alliance,1,7,Paide Linnameeskond II,8
14.0506:30,Nomme United,1,2,FC Tallinn,3
13.0509:00,Legion,0,3,Elva,3
11.0513:00,Viimsi JK,0,0,Flora II,0
10.0513:00,FC Alliance,1,2,Elva,3
07.0506:30,Tabasalu,2,0,Levadia II,2
06.0513:00,Nomme United,2,1,Viimsi JK,3
06.0510:00,Elva,3,0,FC Alliance,3
06.0509:30,FC Tallinn,1,2,Flora II,3
06.0509:00,Paide Linnameeskond II,2,0,Legion,2
01.0514:00,Flora II,6,1,FC Alliance,7
01.0508:30,Elva,1,3,Viimsi JK,4
01.0508:30,FC Tallinn,4,0,Legion,4
01.0508:30,Paide Linnameeskond II,0,5,Tabasalu,5
01.0508:30,Nomme United,5,0,Levadia II,5
28.0412:00,Legion,1,0,FC Alliance,1
27.0413:00,Flora II,3,6,Nomme United,9
27.0413:00,Levadia II,1,1,FC Tallinn,2
27.0413:00,Tabasalu,1,0,Elva,1
27.0412:00,Viimsi JK,2,0,Paide Linnameeskond II,2
24.0413:00,Flora II,3,3,Paide Linnameeskond II,6
23.0411:00,FC Alliance,2,3,FC Tallinn,5
22.0406:30,Legion,2,1,Tabasalu,3
21.0413:00,Nomme United,1,1,Elva,2
17.0413:00,Paide Linnameeskond II,1,3,Nomme United,4
16.0406:30,FC Tallinn,3,2,Viimsi JK,5
15.0406:30,FC Alliance,2,5,Tabasalu,7
15.0406:30,Elva,3,2,Legion,5
10.0413:00,FC Alliance,3,2,Flora II,5
09.0411:00,Elva,1,1,FC Tallinn,2
08.0406:30,Legion,1,2,Levadia II,3
08.0406:30,Viimsi JK,1,1,Nomme United,2
08.0406:30,Tabasalu,6,4,Paide Linnameeskond II,10
03.0413:00,Paide Linnameeskond II,1,2,Levadia II,3
02.0413:30,FC Tallinn,1,3,Nomme United,4
02.0406:30,Flora II,3,2,Tabasalu,5
01.0406:30,Viimsi JK,1,0,Legion,1
26.0312:00,Legion,2,2,Paide Linnameeskond II,4
19.0314:00,Viimsi JK,2,0,Elva,2
19.0311:00,Nomme United,4,2,FC Alliance,6
19.0307:30,Flora II,5,2,Legion,7
19.0307:30,Levadia II,2,1,Tabasalu,3
18.0307:30,FC Tallinn,3,2,Paide Linnameeskond II,5
15.0313:00,Tabasalu,1,2,Nomme United,3
13.0314:00,Levadia II,5,1,Elva,6
12.0307:30,FC Alliance,2,6,Viimsi JK,8
12.0307:30,Flora II,1,0,FC Tallinn,1
09.0315:30,Nomme United,4,1,Legion,5
09.0313:00,Levadia II,4,0,FC Alliance,4
09.0313:00,Paide Linnameeskond II,6,2,Elva,8
05.0314:00,Tabasalu,1,2,Viimsi JK,3
05.0307:30,Legion,3,2,FC Tallinn,5
04.0312:30,Elva,2,1,Flora II,3
04.0307:30,Paide Linnameeskond II,2,3,FC Alliance,5
13.1107:30,Flora II,3,5,Laagri,8
13.1107:30,Paide Linnameeskond II,1,4,FC Alliance,5
13.1107:30,Elva,3,1,Levadia II,4
13.1107:30,Pärnu,0,2,Nomme United,2
13.1107:30,Viimsi JK,3,0,Tulevik,3
07.1114:00,Laagri,4,0,Pärnu,4
06.1107:30,Flora II,1,2,Levadia II,3
05.1107:30,FC Alliance,0,3,Viimsi JK,3
05.1107:30,Tulevik,0,1,Elva,1
05.1107:30,Paide Linnameeskond II,0,5,Nomme United,5
31.1014:00,Levadia II,5,0,Paide Linnameeskond II,5
30.1007:30,Pärnu,1,7,Viimsi JK,8
29.1006:30,Tulevik,0,5,Laagri,5
29.1006:30,Nomme United,4,1,FC Alliance,5
29.1006:30,Elva,1,1,Flora II,2
24.1013:00,Flora II,1,1,Paide Linnameeskond II,2
24.1013:00,Viimsi JK,4,1,Elva,5
24.1013:00,Pärnu,1,3,Tulevik,4
22.1006:30,Levadia II,4,0,FC Alliance,4
22.1006:30,Laagri,5,1,Nomme United,6
17.1013:00,Elva,3,2,Pärnu,5
16.1006:30,Paide Linnameeskond II,1,3,Viimsi JK,4
