20.0607:00,South Melbourne,4,0,St Albans,4
17.0605:30,Hume City,1,2,North Geelong,3
17.0602:00,Moreland City,0,3,Avondale FC,3
17.0602:00,Dandenong Thunder,1,1,Bentleigh Greens,2
16.0607:30,Oakleigh Cannons,2,0,St Albans,2
16.0607:00,Green Gully,5,2,Altona Magic,7
16.0606:30,Melbourne Knights,0,1,Port Melbourne Sharks,1
11.0602:00,St Albans,3,0,Hume City,3
10.0605:15,Altona Magic,3,1,Moreland City,4
10.0602:00,Bentleigh Greens,0,1,Melbourne Knights,1
10.0602:00,Avondale FC,3,0,North Geelong,3
09.0607:30,Oakleigh Cannons,5,1,Heidelberg United,6
09.0606:30,Port Melbourne Sharks,1,3,Green Gully,4
03.0605:30,Hume City,0,1,Avondale FC,1
03.0602:00,Moreland City,0,5,Port Melbourne Sharks,5
03.0602:00,North Geelong,0,5,Altona Magic,5
02.0607:30,Oakleigh Cannons,2,1,Dandenong Thunder,3
02.0607:30,Heidelberg United,3,0,St Albans,3
02.0607:00,Green Gully,3,1,Bentleigh Greens,4
02.0606:30,Melbourne Knights,1,2,South Melbourne,3
28.0503:00,South Melbourne,1,0,Green Gully,1
27.0505:15,Altona Magic,2,5,Avondale FC,7
27.0504:30,Port Melbourne Sharks,4,0,North Geelong,4
27.0502:00,Bentleigh Greens,1,3,Moreland City,4
27.0502:00,St Albans,0,4,Dandenong Thunder,4
26.0507:30,Oakleigh Cannons,2,2,Melbourne Knights,4
26.0507:30,Heidelberg United,1,0,Hume City,1
20.0506:15,Dandenong Thunder,2,1,Heidelberg United,3
20.0505:30,Hume City,1,0,Altona Magic,1
20.0502:00,Moreland City,0,2,South Melbourne,2
20.0502:00,Avondale FC,1,0,Port Melbourne Sharks,1
20.0502:00,North Geelong,1,2,Bentleigh Greens,3
19.0507:00,Green Gully,1,2,Oakleigh Cannons,3
19.0506:30,Melbourne Knights,4,1,St Albans,5
14.0503:00,South Melbourne,2,1,North Geelong,3
13.0505:30,Hume City,0,2,Dandenong Thunder,2
13.0505:15,Altona Magic,0,2,Port Melbourne Sharks,2
13.0502:00,Moreland City,0,3,Oakleigh Cannons,3
12.0507:00,Green Gully,0,1,St Albans,1
12.0506:30,Melbourne Knights,5,0,Heidelberg United,5
12.0506:30,Bentleigh Greens,0,4,Avondale FC,4
07.0503:00,South Melbourne,3,0,Avondale FC,3
07.0502:00,St Albans,3,0,Moreland City,3
06.0506:15,Dandenong Thunder,0,1,Melbourne Knights,1
06.0504:30,Port Melbourne Sharks,3,0,Hume City,3
06.0502:00,Bentleigh Greens,1,2,Altona Magic,3
05.0507:30,Oakleigh Cannons,5,0,North Geelong,5
05.0507:30,Heidelberg United,1,0,Green Gully,1
30.0403:00,South Melbourne,5,1,Altona Magic,6
30.0403:00,Melbourne Knights,1,1,Hume City,2
29.0404:30,Port Melbourne Sharks,2,1,Bentleigh Greens,3
29.0402:00,Avondale FC,4,2,Oakleigh Cannons,6
29.0402:00,North Geelong,1,0,St Albans,1
28.0407:30,Heidelberg United,0,0,Moreland City,0
28.0407:00,Green Gully,4,2,Dandenong Thunder,6
24.0406:30,South Melbourne,5,2,Port Melbourne Sharks,7
24.0406:30,Melbourne Knights,3,2,Green Gully,5
22.0406:15,Dandenong Thunder,3,2,Moreland City,5
22.0405:30,Hume City,2,3,Bentleigh Greens,5
22.0402:00,Avondale FC,4,0,St Albans,4
21.0407:30,Oakleigh Cannons,5,1,Altona Magic,6
21.0406:30,Heidelberg United,1,1,North Geelong,2
17.0407:30,Oakleigh Cannons,3,2,Port Melbourne Sharks,5
15.0402:30,South Melbourne,1,0,Bentleigh Greens,1
15.0402:00,Avondale FC,8,2,Heidelberg United,10
15.0402:00,Moreland City,1,4,Melbourne Knights,5
15.0402:00,North Geelong,1,2,Dandenong Thunder,3
14.0407:30,Altona Magic,5,1,St Albans,6
14.0407:00,Green Gully,1,3,Hume City,4
10.0404:00,Oakleigh Cannons,3,0,Bentleigh Greens,3
10.0403:00,Melbourne Knights,3,2,North Geelong,5
09.0405:00,Heidelberg United,1,2,Altona Magic,3
08.0406:15,Dandenong Thunder,1,3,Avondale FC,4
08.0405:30,Hume City,0,0,South Melbourne,0
08.0404:30,Port Melbourne Sharks,2,1,St Albans,3
07.0407:00,Green Gully,6,2,Moreland City,8
01.0405:30,Oakleigh Cannons,0,1,South Melbourne,1
01.0404:15,Altona Magic,3,2,Dandenong Thunder,5
01.0401:15,Avondale FC,3,0,Melbourne Knights,3
01.0401:00,Moreland City,2,5,Hume City,7
01.0401:00,North Geelong,0,7,Green Gully,7
31.0306:30,Heidelberg United,2,2,Port Melbourne Sharks,4
31.0305:30,Bentleigh Greens,4,1,St Albans,5
26.0301:00,St Albans,0,1,South Melbourne,1
25.0305:45,Oakleigh Cannons,2,1,Hume City,3
25.0305:00,Dandenong Thunder,2,6,Port Melbourne Sharks,8
25.0301:15,Avondale FC,3,2,Green Gully,5
25.0301:00,Moreland City,4,1,North Geelong,5
24.0306:30,Heidelberg United,3,1,Bentleigh Greens,4
24.0305:30,Melbourne Knights,3,1,Altona Magic,4
19.0303:00,St Albans,1,1,Oakleigh Cannons,2
18.0304:15,Altona Magic,1,2,Green Gully,3
18.0303:30,Port Melbourne Sharks,2,3,Melbourne Knights,5
18.0303:00,North Geelong,0,4,Hume City,4
18.0301:15,Avondale FC,7,0,Moreland City,7
17.0305:30,Bentleigh Greens,0,3,Dandenong Thunder,3
17.0305:30,South Melbourne,0,2,Heidelberg United,2
12.0305:30,Melbourne Knights,1,0,Bentleigh Greens,1
11.0305:00,Dandenong Thunder,0,1,South Melbourne,1
11.0304:30,Hume City,1,1,St Albans,2
11.0303:00,North Geelong,1,4,Avondale FC,5
11.0301:00,Moreland City,1,1,Altona Magic,2
10.0306:30,Heidelberg United,0,5,Oakleigh Cannons,5
10.0306:00,Green Gully,3,2,Port Melbourne Sharks,5
06.0306:15,South Melbourne,2,1,Melbourne Knights,3
04.0305:00,Dandenong Thunder,1,2,Oakleigh Cannons,3
04.0304:15,Altona Magic,1,0,North Geelong,1
04.0304:00,Port Melbourne Sharks,1,1,Moreland City,2
04.0301:15,Avondale FC,3,2,Hume City,5
03.0306:00,St Albans,1,0,Heidelberg United,1
03.0305:30,Bentleigh Greens,0,2,Green Gully,2
25.0205:00,Dandenong Thunder,4,4,St Albans,8
25.0203:00,North Geelong,0,2,Port Melbourne Sharks,2
25.0201:15,Avondale FC,3,0,Altona Magic,3
25.0201:00,Moreland City,2,1,Bentleigh Greens,3
24.0206:00,Green Gully,1,3,South Melbourne,4
24.0205:30,Hume City,1,1,Heidelberg United,2
24.0205:30,Melbourne Knights,1,1,Oakleigh Cannons,2
19.0203:00,St Albans,1,1,Melbourne Knights,2
18.0204:15,Altona Magic,1,1,Hume City,2
18.0204:00,Port Melbourne Sharks,2,2,Avondale FC,4
17.0206:30,Oakleigh Cannons,3,1,Green Gully,4
17.0206:30,Heidelberg United,0,1,Dandenong Thunder,1
17.0205:30,Bentleigh Greens,1,3,North Geelong,4
16.0205:30,South Melbourne,2,1,Moreland City,3
21.0802:00,Dandenong Thunder,0,5,Bentleigh Greens,5
21.0802:00,Avondale FC,0,1,South Melbourne,1
21.0802:00,Eastern Lions,1,5,Heidelberg United,6
21.0802:00,Oakleigh Cannons,0,1,Hume City,1
21.0802:00,Dandenong Thunder,3,0,Green Gully,3
21.0802:00,Port Melbourne Sharks,2,0,Melbourne Knights,2
21.0802:00,Altona Magic,1,5,St Albans,6
18.0806:30,Green Gully,7,0,Eastern Lions,7
14.0802:00,St Albans,2,1,Oakleigh Cannons,3
14.0802:00,Heidelberg United,1,4,Avondale FC,5
13.0806:00,Hume City,2,1,Dandenong Thunder,3
13.0804:45,South Melbourne,1,0,Dandenong Thunder,1
12.0806:30,Melbourne Knights,1,1,Altona Magic,2
05.0807:30,St Albans,1,1,Eastern Lions,2
05.0807:15,Melbourne Knights,2,0,Green Gully,2
31.0702:00,Heidelberg United,1,2,Green Gully,3
30.0706:00,Dandenong Thunder,1,0,St Albans,1
30.0705:00,Altona Magic,3,0,Bentleigh Greens,3
30.0704:30,Port Melbourne Sharks,2,1,South Melbourne,3
30.0703:45,Dandenong Thunder,3,1,Avondale FC,4
30.0702:00,Eastern Lions,0,0,Hume City,0
29.0707:30,Oakleigh Cannons,3,1,Melbourne Knights,4
26.0707:00,Avondale FC,1,2,Port Melbourne Sharks,3
