19.0607:15,Bulleen Lions,0,3,Kingston City,3
17.0602:00,Eastern Lions,0,0,Moreland Zebras,0
16.0607:30,Preston Lions,0,0,Manningham United Blues,0
16.0607:30,Northcote City,1,2,Werribee City,3
16.0607:30,Langwarrin,4,2,Brunswick City,6
16.0607:15,Pascoe Vale,2,4,Melbourne City II,6
16.0606:45,Dandenong City,0,2,Western United II,2
10.0602:00,Melbourne City II,1,2,Brunswick City,3
10.0602:00,Manningham United Blues,4,0,Pascoe Vale,4
09.0607:30,Preston Lions,2,2,Western United II,4
09.0607:30,Moreland Zebras,1,0,Bulleen Lions,1
09.0607:30,Northcote City,1,3,Kingston City,4
09.0606:45,Dandenong City,1,0,Werribee City,1
09.0606:45,Langwarrin,2,3,Eastern Lions,5
03.0602:00,Langwarrin,0,3,Bulleen Lions,3
03.0602:00,Eastern Lions,1,2,Melbourne City II,3
03.0602:00,Brunswick City,1,2,Manningham United Blues,3
02.0607:30,Preston Lions,2,1,Dandenong City,3
02.0607:30,Northcote City,1,2,Moreland Zebras,3
02.0607:15,Kingston City,3,3,Werribee City,6
02.0607:15,Pascoe Vale,3,2,Western United II,5
28.0502:00,Western United II,1,2,Brunswick City,3
28.0502:00,Melbourne City II,0,1,Bulleen Lions,1
27.0502:00,Manningham United Blues,0,0,Eastern Lions,0
27.0502:00,Langwarrin,1,2,Northcote City,3
26.0507:30,Moreland Zebras,1,5,Kingston City,6
26.0507:30,Preston Lions,1,3,Werribee City,4
26.0506:45,Dandenong City,3,2,Pascoe Vale,5
22.0507:15,Kingston City,1,2,Langwarrin,3
22.0507:15,Bulleen Lions,5,0,Manningham United Blues,5
21.0502:00,Eastern Lions,0,2,Western United II,2
21.0502:00,Melbourne City II,2,1,Northcote City,3
20.0502:00,Brunswick City,0,1,Dandenong City,1
20.0502:00,Werribee City,1,1,Moreland Zebras,2
19.0507:15,Pascoe Vale,0,1,Preston Lions,1
14.0502:00,Western United II,3,1,Bulleen Lions,4
13.0507:00,Brunswick City,1,0,Preston Lions,1
13.0503:00,Kingston City,0,2,Melbourne City II,2
13.0502:00,Eastern Lions,1,0,Dandenong City,1
12.0507:30,Northcote City,2,2,Manningham United Blues,4
12.0507:30,Moreland Zebras,3,2,Langwarrin,5
12.0507:15,Werribee City,5,1,Pascoe Vale,6
07.0502:00,Western United II,0,1,Northcote City,1
07.0502:00,Melbourne City II,3,2,Moreland Zebras,5
06.0502:00,Manningham United Blues,1,2,Kingston City,3
05.0507:30,Langwarrin,3,2,Werribee City,5
05.0507:15,Pascoe Vale,0,1,Brunswick City,1
05.0507:00,Preston Lions,1,2,Eastern Lions,3
05.0506:45,Dandenong City,3,0,Bulleen Lions,3
01.0507:15,Bulleen Lions,3,4,Preston Lions,7
29.0403:00,Kingston City,1,0,Western United II,1
29.0402:00,Eastern Lions,1,0,Pascoe Vale,1
29.0402:00,Langwarrin,1,5,Melbourne City II,6
28.0407:30,Moreland Zebras,1,2,Manningham United Blues,3
28.0407:30,Northcote City,3,0,Dandenong City,3
28.0407:15,Werribee City,2,1,Brunswick City,3
23.0402:00,Western United II,1,0,Moreland Zebras,1
22.0402:00,Brunswick City,2,1,Eastern Lions,3
22.0402:00,Manningham United Blues,4,1,Langwarrin,5
21.0407:30,Preston Lions,2,1,Northcote City,3
21.0407:15,Pascoe Vale,2,2,Bulleen Lions,4
21.0407:15,Werribee City,3,2,Melbourne City II,5
21.0406:45,Dandenong City,3,0,Kingston City,3
17.0407:15,Kingston City,3,3,Preston Lions,6
17.0407:15,Bulleen Lions,5,2,Brunswick City,7
16.0402:00,Melbourne City II,1,4,Manningham United Blues,5
15.0402:00,Langwarrin,1,0,Western United II,1
15.0402:00,Northcote City,2,1,Pascoe Vale,3
14.0407:30,Moreland Zebras,0,2,Dandenong City,2
08.0402:00,Brunswick City,2,2,Northcote City,4
08.0402:00,Eastern Lions,4,0,Bulleen Lions,4
08.0402:00,Dandenong City,4,0,Langwarrin,4
07.0407:15,Pascoe Vale,3,3,Kingston City,6
07.0407:15,Werribee City,2,2,Manningham United Blues,4
07.0407:00,Preston Lions,2,0,Moreland Zebras,2
02.0403:45,Kingston City,1,0,Brunswick City,1
02.0402:00,Melbourne City II,1,3,Dandenong City,4
01.0401:00,Langwarrin,1,2,Preston Lions,3
01.0401:00,Manningham United Blues,2,4,Western United II,6
31.0306:30,Moreland Zebras,0,1,Pascoe Vale,1
31.0306:30,Northcote City,4,1,Eastern Lions,5
27.0306:15,Bulleen Lions,4,1,Northcote City,5
27.0306:15,Kingston City,5,1,Eastern Lions,6
25.0301:00,Werribee City,0,1,Western United II,1
25.0301:00,Brunswick City,0,2,Moreland Zebras,2
24.0306:30,Preston Lions,1,1,Melbourne City II,2
24.0306:15,Pascoe Vale,1,4,Langwarrin,5
24.0305:45,Dandenong City,1,1,Manningham United Blues,2
20.0306:15,Kingston City,2,1,Bulleen Lions,3
19.0301:00,Western United II,1,0,Dandenong City,1
18.0304:00,Moreland Zebras,0,1,Eastern Lions,1
18.0301:00,Brunswick City,3,3,Langwarrin,6
18.0301:00,Werribee City,0,1,Northcote City,1
18.0301:00,Melbourne City II,1,2,Pascoe Vale,3
18.0301:00,Manningham United Blues,2,2,Preston Lions,4
13.0306:15,Bulleen Lions,0,1,Moreland Zebras,1
12.0302:45,Kingston City,2,0,Northcote City,2
12.0301:00,Western United II,0,1,Preston Lions,1
11.0301:00,Werribee City,3,3,Dandenong City,6
11.0301:00,Brunswick City,2,1,Melbourne City II,3
11.0301:00,Eastern Lions,3,2,Langwarrin,5
10.0306:15,Pascoe Vale,0,3,Manningham United Blues,3
06.0306:15,Bulleen Lions,0,1,Langwarrin,1
05.0301:00,Western United II,0,3,Pascoe Vale,3
05.0301:00,Melbourne City II,6,3,Eastern Lions,9
04.0301:00,Manningham United Blues,1,3,Brunswick City,4
04.0301:00,Werribee City,1,0,Kingston City,1
03.0306:30,Moreland Zebras,1,3,Northcote City,4
03.0305:45,Dandenong City,1,4,Preston Lions,5
27.0206:15,Kingston City,2,0,Moreland Zebras,2
27.0206:15,Bulleen Lions,3,0,Melbourne City II,3
25.0201:00,Eastern Lions,3,1,Manningham United Blues,4
25.0201:00,Werribee City,0,1,Preston Lions,1
25.0201:00,Brunswick City,3,1,Western United II,4
24.0206:30,Northcote City,1,2,Langwarrin,3
24.0206:15,Pascoe Vale,3,1,Dandenong City,4
19.0201:00,Western United II,1,0,Eastern Lions,1
18.0205:00,Langwarrin,3,2,Kingston City,5
18.0201:00,Manningham United Blues,3,1,Bulleen Lions,4
17.0206:30,Moreland Zebras,1,1,Werribee City,2
17.0206:30,Northcote City,1,2,Melbourne City II,3
17.0206:00,Preston Lions,1,2,Pascoe Vale,3
17.0205:45,Dandenong City,2,0,Brunswick City,2
23.0806:30,Northcote City,0,3,Pascoe Vale,3
20.0802:00,Moreland City,1,0,North Geelong,1
20.0802:00,Moreland Zebras,2,3,Werribee City,5
20.0802:00,Goulburn Valley Suns,2,4,Brunswick City,6
20.0802:00,Bulleen Lions,1,1,Kingston City,2
20.0802:00,Langwarrin,3,2,Manningham United Blues,5
13.0803:00,Kingston City,1,1,Goulburn Valley Suns,2
13.0802:00,Brunswick City,1,2,Langwarrin,3
13.0802:00,North Geelong,3,0,Bulleen Lions,3
13.0802:00,Werribee City,0,1,Northcote City,1
13.0802:00,Manningham United Blues,1,2,Moreland Zebras,3
12.0807:15,Pascoe Vale,1,2,Moreland City,3
05.0807:30,Moreland Zebras,1,0,Kingston City,1
01.0807:15,Bulleen Lions,2,3,Pascoe Vale,5
30.0702:00,Moreland City,3,0,Werribee City,3
30.0702:00,North Geelong,2,1,Kingston City,3
30.0702:00,Langwarrin,3,1,Goulburn Valley Suns,4
29.0707:30,Moreland Zebras,2,2,Brunswick City,4
29.0707:30,Northcote City,1,3,Manningham United Blues,4
25.0707:30,Kingston City,0,0,Langwarrin,0
23.0704:00,Pascoe Vale,5,1,North Geelong,6
23.0702:00,Brunswick City,1,2,Northcote City,3
23.0702:00,Goulburn Valley Suns,0,2,Moreland Zebras,2
23.0702:00,Werribee City,0,2,Bulleen Lions,2
23.0702:00,Manningham United Blues,1,2,Moreland City,3
