18.0600:45,Brisbane Roar - U23,1,1,Peninsula Power - U23,2
17.0607:00,Brisbane City - U23,1,4,Lions - U23,5
17.0605:30,Redlands United - U23,0,3,Gold Coast United - U23,3
17.0604:00,Moreton Bay United - U23,1,4,Gold Coast United - U23,5
16.0605:30,Olympic - U23,2,3,SC Wanderers - U23,5
16.0605:30,Rochedale Rovers - U23,5,0,Redlands United - U23,5
11.0602:00,Gold Coast United - U23,2,1,Redlands United - U23,3
11.0601:00,Rochedale Rovers - U23,0,0,Moreton Bay United - U23,0
10.0622:00,Brisbane Roar - U23,2,3,Gold Coast United - U23,5
10.0607:00,Brisbane City - U23,3,4,Peninsula Power - U23,7
09.0623:30,Lions - U23,3,0,SC Wanderers - U23,3
09.0605:30,Redlands United - U23,4,0,Olympic - U23,4
04.0606:00,Brisbane City - U23,4,0,Brisbane Roar - U23,4
03.0605:30,Redlands United - U23,3,1,Rochedale Rovers - U23,4
03.0604:00,SC Wanderers - U23,2,2,Peninsula Power - U23,4
03.0603:45,Gold Coast United - U23,4,1,Gold Coast United - U23,5
03.0602:30,Redlands United - U23,0,3,Lions - U23,3
02.0605:15,Moreton Bay United - U23,1,0,Olympic - U23,1
21.0501:45,Gold Coast United - U23,3,1,Brisbane City - U23,4
20.0523:45,Brisbane Roar - U23,1,3,SC Wanderers - U23,4
20.0506:00,Gold Coast United - U23,3,4,Rochedale Rovers - U23,7
20.0506:00,Moreton Bay United - U23,1,2,Lions - U23,3
20.0502:30,Redlands United - U23,1,2,Peninsula Power - U23,3
19.0505:30,Redlands United - U23,1,3,Olympic - U23,4
14.0501:00,Lions - U23,3,1,Redlands United - U23,4
13.0503:00,Rochedale Rovers - U23,3,0,Gold Coast United - U23,3
13.0502:00,Brisbane Roar - U23,5,0,Redlands United - U23,5
13.0501:00,Brisbane City - U23,1,3,SC Wanderers - U23,4
13.0500:00,Peninsula Power - U23,4,0,Moreton Bay United - U23,4
07.0501:45,Gold Coast United - U23,0,4,SC Wanderers - U23,4
06.0507:00,Brisbane City - U23,2,6,Redlands United - U23,8
