23.0604:30,Western Springs,3,1,Bay Olympic,4
23.0604:00,Christchurch United,2,0,Coastal Spirit,2
21.0604:00,Wellington Phoenix II,3,1,Miramar,4
14.0604:30,Manukau United,0,5,Auckland City,5
10.0623:00,Napier City Rovers,4,1,StopOutSC,5
10.0623:00,Western Suburbs,2,0,North Wellington,2
10.0621:00,Coastal Spirit,1,3,Ferrymead Bays,4
10.0621:00,NelsonSuburbs,7,1,Selwyn United,8
10.0603:00,Bay Olympic,0,1,Auckland City,1
10.0600:30,Petone,2,0,Whanganui Athletic FC,2
10.0600:00,Eastern Suburbs,2,0,Western Springs,2
10.0600:00,West Coast Rangers,0,4,Manurewa AFC,4
10.0600:00,Melville United,1,1,Takapuna AFC,2
10.0600:00,Auckland United,4,0,Hamilton Wanderers,4
09.0623:45,Cashmere Technical,6,1,FCTwenty11,7
09.0623:30,Waterside Karori,1,3,Wellington Phoenix II,4
09.0623:30,Miramar,0,7,Wellington Olympic,7
03.0600:00,Takapuna AFC,3,4,Auckland United,7
03.0600:00,Eastern Suburbs,2,1,Melville United,3
03.0600:00,Hamilton Wanderers,3,2,West Coast Rangers,5
03.0600:00,Manukau United,3,3,Bay Olympic,6
03.0600:00,Manurewa AFC,1,3,Birkenhead United,4
02.0604:30,Western Springs,1,3,Auckland City,4
27.0523:00,Western Suburbs,2,5,Wellington Olympic,7
27.0523:00,Napier City Rovers,3,1,North Wellington,4
27.0522:30,Coastal Spirit,1,0,South City Royals,1
27.0502:30,Hamilton Wanderers,2,2,Birkenhead United,4
27.0500:00,Melville United,2,1,Western Springs,3
27.0500:00,Manurewa AFC,1,0,Bay Olympic,1
27.0500:00,Auckland United,0,1,Eastern Suburbs,1
27.0500:00,Takapuna AFC,2,1,West Coast Rangers,3
27.0500:00,Waterside Karori,3,1,Whanganui Athletic FC,4
26.0523:45,Nomads United,3,1,Selwyn United,4
26.0523:45,Cashmere Technical,1,1,Christchurch United,2
26.0521:00,Green Island,1,2,Ferrymead Bays,3
26.0520:30,FCTwenty11,0,6,NelsonSuburbs,6
20.0521:00,NelsonSuburbs,1,1,Nomads United,2
20.0502:30,Bay Olympic,1,3,Hamilton Wanderers,4
20.0500:30,Petone,2,2,Waterside Karori,4
20.0500:00,West Coast Rangers,1,2,Eastern Suburbs,3
20.0500:00,Western Springs,3,2,Manukau United,5
20.0500:00,North Wellington,3,3,StopOutSC,6
19.0523:45,South City Royals,4,2,Green Island,6
19.0523:30,Whanganui Athletic FC,0,2,Miramar,2
19.0522:45,Wellington Olympic,6,3,Napier City Rovers,9
19.0504:15,Ferrymead Bays,2,6,Cashmere Technical,8
19.0504:00,Christchurch United,1,0,FCTwenty11,1
19.0504:00,Selwyn United,2,3,Coastal Spirit,5
13.0502:30,Melville United,3,1,West Coast Rangers,4
13.0500:00,Auckland United,1,1,Western Springs,2
13.0500:00,Manurewa AFC,3,0,Manukau United,3
13.0500:00,Takapuna AFC,1,2,Bay Olympic,3
13.0500:00,Eastern Suburbs,2,0,Birkenhead United,2
06.0523:00,Western Suburbs,7,1,Whanganui Athletic FC,8
06.0523:00,Napier City Rovers,2,3,Wellington Phoenix II,5
06.0521:00,Coastal Spirit,2,1,Nomads United,3
06.0503:00,Bay Olympic,2,4,Eastern Suburbs,6
06.0500:00,West Coast Rangers,1,0,Auckland United,1
06.0500:00,Auckland City,4,0,Takapuna AFC,4
06.0500:00,Manukau United,2,2,Hamilton Wanderers,4
06.0500:00,North Wellington,0,5,Petone,5
05.0523:45,FCTwenty11,3,0,Ferrymead Bays,3
05.0523:30,StopOutSC,3,2,Wellington Olympic,5
