1,Al Ahly,32,25,7,0,63,10,82
2,Pyramids,33,21,7,5,55,24,70
3,Zamalek,34,17,9,8,52,36,60
4,Future FC,34,15,13,6,34,23,58
5,Al Masry,33,11,14,8,34,33,47
6,Enppi,34,13,6,15,34,40,45
7,Arab Contractors,34,9,17,8,35,33,44
8,Al Ittihad,34,12,7,15,36,43,43
9,Pharco,34,9,15,10,31,34,42
10,Smouha,34,10,12,12,36,43,42
11,El Ismaily,34,9,13,12,25,28,40
12,National Bank Egypt,34,9,12,13,35,40,39
13,Ceramica Cleopatra,34,7,16,11,31,32,37
14,El Gaish,34,8,12,14,33,45,36
15,El Daklyeh,34,7,14,13,32,43,35
16,Aswan SC,34,8,9,17,26,47,33
17,Ghazl El Mahallah,34,8,9,17,26,47,33
18,Haras El Hodood,34,5,10,19,21,45,25
