1,Real Bakamo,30,18,8,4,45,17,26
2,Djoliba,30,16,11,3,39,12,59
3,USFAS Bamako,30,12,13,5,32,22,49
4,Bakaridjan,30,13,8,9,29,23,47
5,Onze Createurs,30,12,9,9,34,27,45
6,Foot Elite,30,12,8,10,30,21,44
7,Binga,30,10,13,7,24,19,43
8,US Bougouni,30,11,10,9,39,35,43
9,Stade Malien,30,9,14,7,21,16,41
10,Korofina,30,8,14,8,25,26,38
11,AS Police,30,9,10,11,22,29,37
12,USC Kita,30,7,12,11,23,28,33
13,Black Stars,30,6,13,11,30,38,31
14,CO Bamako,30,7,9,14,22,43,30
15,LC Bamako,30,3,13,14,17,36,22
16,Yeelen,30,3,3,24,21,61,12
