1,The Strongest,18,12,3,3,35,20,39
2,Always Ready,18,10,5,3,33,16,35
3,Nacional Potosi,18,11,2,5,37,21,35
4,Bolivar,18,9,4,5,38,20,31
5,Aurora,18,8,5,5,29,18,29
6,Santa Cruz,18,8,4,6,18,17,28
7,Independiente Petrolero,18,8,0,10,19,23,24
8,Palmaflor,18,7,1,10,20,26,22
9,Guabira,18,6,3,9,16,29,21
10,Wilsterman,18,6,8,4,20,15,20
11,Universitario de Vinto,18,5,5,8,19,21,20
12,Royal Pari,18,5,5,8,21,29,20
13,Oriente Petrolero,18,4,7,7,23,27,19
14,Tomayapo,17,4,7,6,16,20,19
15,Vaca Diez,17,5,4,8,25,33,19
16,Blooming,18,5,3,10,23,35,18
17,Libertad Gran Mamore,18,4,4,10,17,39,16
