1,Novorizontino,20,12,3,5,27,12,39
2,Vitoria,20,12,2,6,31,17,38
3,Sport Recife,20,11,5,4,31,17,38
4,Vila Nova,20,10,5,5,23,11,35
5,Guarani,20,10,5,5,26,16,35
6,Criciuma,20,10,5,5,23,14,35
7,Mirassol,21,10,5,6,24,19,35
8,Juventude,20,10,3,7,23,18,33
9,Botafogo SP,20,9,4,7,15,23,31
10,Ceara,20,8,5,7,22,22,29
11,Atletico GO,21,6,10,5,28,32,28
12,CRB,20,8,3,9,22,24,27
13,Ponte Preta,20,5,8,7,12,17,23
14,Sampaio Correa,21,5,7,9,16,25,22
15,Ituano,20,5,6,9,18,22,21
16,Tomboense,20,5,4,11,20,27,19
17,Chapecoense,29,4,6,9,21,25,18
18,Avai,20,4,6,10,15,28,18
19,Londrina,20,4,3,13,17,31,15
20,ABC,20,2,7,11,13,27,13
