1,Operario,13,7,4,2,14,7,25
2,Amazonas,13,7,3,3,20,17,24
3,Brusque,13,7,2,4,18,9,23
4,Volta Redonda,13,7,1,5,22,12,22
5,Nautico,13,6,4,3,18,15,22
6,Botafogo PB,13,5,6,2,17,14,21
7,Sao Bernardo,13,5,5,3,15,13,20
8,EC Sao Jose,13,5,4,4,19,14,19
9,Ypiranga FC,13,5,3,5,22,17,18
10,Paysandu PA,13,5,3,5,12,20,18
11,CSA,13,4,6,3,12,9,18
12,Figueirense,13,4,4,5,12,11,16
13,Confianca,13,4,4,5,15,20,16
14,Manaus,13,4,2,7,11,19,14
15,Floresta EC,13,3,5,5,9,13,14
16,Aparecidense,13,4,1,8,13,17,13
17,Remo,13,3,4,6,12,14,13
18,America RN,13,3,4,6,9,16,13
19,Pouso Alegre,13,3,3,7,8,16,12
20,AR Altos,13,2,6,5,12,17,12
