1,Deportes Iquique,18,9,6,3,31,21,33
2,La Serena,18,9,4,5,27,20,31
3,San Luis,17,9,3,5,26,16,30
4,Deportes Temuco,18,8,6,4,24,22,30
5,Antofagasta,18,9,2,7,34,22,29
6,San Felipe,18,8,5,5,28,22,29
7,Santiago Wanderers,18,8,5,5,23,19,29
8,Cobreloa,18,8,4,6,23,18,28
9,San Marcos de Arica,18,6,4,8,28,28,22
10,Barnechea,18,5,6,7,19,24,21
11,Rangers,18,6,3,9,22,30,21
12,CD Santa Cruz,18,5,5,8,17,23,20
13,Recoleta,18,4,8,6,17,23,20
14,Santiago Morning,17,4,5,8,18,24,17
15,Universidad de Concepcion,18,5,2,11,18,31,17
16,Deportivo Puerto Montt,18,4,4,10,13,25,16
