1,Cobresal,17,9,5,3,30,15,32
2,Huachipato,17,9,2,6,25,18,29
3,Universidad de Chile,17,8,5,4,20,17,29
4,Coquimbo,17,9,2,6,22,20,29
5,Union Espanola,17,7,6,4,22,13,27
6,Colo Colo,16,7,5,4,22,18,26
7,Everton,17,7,4,6,25,25,25
8,Universidad Catolica,17,6,5,6,28,24,23
9,Palestino,17,6,5,6,25,28,23
10,Union La Calera,17,4,9,4,21,22,21
11,O'Higgins,17,5,5,7,19,20,20
12,Audax Italiano,17,5,4,8,22,25,19
13,Curico Unido,17,6,1,10,20,27,19
14,Nublense,17,5,4,8,18,25,19
15,Copiapo,16,4,4,8,14,26,16
16,Magallanes,17,3,4,10,17,27,13
