1,Aguilas,20,11,6,3,32,21,39
2,Millonarios,20,10,8,2,30,18,38
3,Atletico Nacional,20,9,8,3,26,14,35
4,America de Cali,20,9,5,6,32,23,32
5,Boyaca Chico,20,7,9,4,24,18,30
6,Alianza Petrolera,20,9,3,8,27,22,30
7,Independiente de Medellin,20,8,5,7,29,24,29
8,Deportivo Pasto,20,8,5,7,22,21,29
9,Junior,20,7,7,6,17,17,28
10,Santa Fe,20,7,5,8,29,25,26
11,La Equidad,20,5,11,4,20,17,26
12,Deportivo Pereira,20,5,11,4,20,17,25
13,Deportes Tolima,20,5,9,6,23,26,24
14,Deportivo Cali,20,5,8,7,20,26,23
15,Bucaramanga,20,4,8,8,15,21,20
16,Envigado,20,4,8,8,14,20,20
17,Once Caldas,20,4,8,8,17,24,20
18,Jaguares de Cordoba,20,4,7,9,16,26,19
19,Union Magdalena,20,3,10,7,16,30,19
20,Atletico Huila,20,5,3,12,20,35,18
