1,Independiente del Valle,15,11,1,3,31,15,34
2,El Nacional,15,10,0,5,32,25,30
3,LDU Quito,15,7,5,3,29,17,26
4,Barcelona,15,8,2,5,30,20,26
5,Aucas,15,7,3,5,17,19,24
6,Universidad Catolica,15,7,3,5,22,25,24
7,Delfin,15,7,3,5,18,23,24
8,Deportivo Cuenca,15,7,0,8,24,21,21
9,Orense,15,6,3,6,17,21,21
10,Tecnico Universitario,15,5,3,7,21,15,18
11,Gualaceo,15,5,3,7,17,23,18
12,Cumbaya,15,4,5,6,10,13,17
13,Emelec,15,3,5,7,18,20,14
14,Libertad,15,2,7,6,20,26,13
15,Mushuc Runa,15,3,4,8,14,25,13
16,Guayaquil City,15,3,3,9,17,29,12
