1,FC Cincinnati,23,15,6,2,39,25,51
2,New England Revolution,23,12,7,4,42,28,43
3,Philadelphia Union,23,12,4,7,39,26,40
4,Nashville SC,24,11,5,8,31,22,38
5,Orlando City,23,10,7,6,34,28,37
6,Columbus Crew,23,10,6,7,45,33,36
7,Atlanta United,24,9,8,7,42,39,35
8,Chicago Fire,23,8,8,7,31,31,32
9,DC United,24,,8,6,10,32,34,30
10,CF Montreal,23,9,2,13,22,32,29
11,New York Red Bulls,23,6,8,9,22,26,26
12,Charlotte,23,6,8,9,30,40,26
13,New York City,24,5,11,8,25,30,26
14,Toronto FC,24,3,10,11,18,33,19
15,Inter Miami,22,5,3,14,22,36,18
