1,Crown Legacy,18,12,3,3,38,22,41
2,New England Revolution II,19,10,4,5,38,22,38
3,Columbus Crew II,17,10,2,5,29,22,34
4,New York Red Bulls II,18,8,4,6,28,22,30
5,Orlando City II,18,9,2,7,35,38,30
6,Philadelphia Union II,19,7,4,8,33,38,27
7,New York City II,17,8,2,7,34,33,26
8,Chicago Fire II,18,6,6,6,30,26,25
9,Atlanta United II,18,6,5,6,31,26,24
10,Huntsville,17,5,4,8,30,28,22
11,Cincinnati II,17,5,4,8,29,38,21
12,Toronto FC II,19,4,5,10,28,35,20
13,Inter Miami II,18,4,2,12,29,39,14
