1,Colorado Rapids II,17,12,4,1,42,17,43
2,Austin FC II,18,10,4,4,25,10,36
3,Tacoma Defiance,17,8,6,3,30,19,33
4,Sporting Kansas City II,17,7,5,5,33,25,29
5,Vancouver Whitecaps II,19,7,4,8,27,32,27
6,Minnesota II,17,7,4,6,34,33,26
7,Houston Dynamo II,17,7,2,8,8,22,25
8,San Jose Earthquakes II,17,6,4,7,19,18,25
9,Portland Timbers II,18,8,0,10,26,35,24
10,St Louis City II,18,4,6,8,22,29,23
11,North Texas,19,5,6,8,25,33,22
12,Real Monarchs,18,6,2,10,19,36,21
13,Los Angeles Galaxy II,18,4,5,9,26,41,20
14,Los Angeles FC II,17,3,5,9,16,25,14
