1,St Louis City,23,13,2,8,43,27,41
2,Los Angeles FC,23,10,7,6,34,25,37
3,Real Salt Lake,24,10,7,7,35,34,37
4,Seattle Sounders,24,10,6,8,29,23,36
5,Austin FC,23,9,5,9,32,32,32
6,San Jose Earthquakes,23,8,8,7,28,29,32
7,Vancouver Whitecaps,22,8,7,7,38,32,31
8,FC Dallas,23,8,6,9,25,26,30
9,Houston Dynamo,23,8,5,10,26,31,29
10,Minnesota United,22,7,7,8,26,30,28
11,Sporting Kansas City,25,6,8,11,31,36,26
12,Portland Timbers,23,6,8,9,26,33,26
13,Los Ageles Galaxy,22,5,7,10,25,37
14,Colorado Rapids,23,3,10,10,16,30,19
