1,Puerto Cabello,18,13,2,3,34,11,41
2,Deportivo Tachira,18,11,5,2,30,10,38
3,Carabobo,19,9,6,4,27,15,33
4,Metropolitanos,19,10,2,7,25,19,32
5,Portuguesa,18,9,4,5,19,13,31
6,Caracas,18,7,8,3,29,20,29
7,La Guaira,18,7,6,5,22,18,27
8,Estudiantes Merida,19,7,4,8,31,28,25
9,Angostura,19,6,3,10,23,30,21
10,Rayo Zuliano,19,4,9,6,24,32,21
11,Monagas,18,5,3,10,17,27,18
12,Zamora,19,4,5,10,18,36,17
13,Hermanos Colmenarez,17,3,6,8,19,26,15
14,Universidad Central,18,3,6,9,16,25,15
15,Mineros,19,2,7,10,18,42,13
