1,River Plate,27,19,4,4,50,20,61
2,Talleres,27,17,8,5,42,23,50
3,San Lorenzo,27,12,10,5,23,13,46
4,Lanus,27,12,9,6,38,27,45
5,Estudiantes,27,12,9,6,35,24,45
6,Defensa y Justicia,27,12,8,7,36,23,44
7,Boca Juniors,27,13,5,9,33,24,44
8,Rosario Central,27,10,12,5,36,29,42
9,Godoy Cruz,27,11,8,8,37,32,41
10,Argentinos Juniors,27,11,7,9,31,22,40
11,Atletico Tucuman,27,9,10,8,25,27,37
12,Racing,27,9,9,9,36,35,36
13,Belgrano,27,10,6,11,20,26,36
14,Newells,27,8,11,8,24,24,35
15,Barracas,27,8,11,8,25,30,35
16,Tigre,27,9,7,11,27,29,34
17,Platense,27,9,7,11,26,29,34
18,Instituto,27,8,8,11,24,35,32
19,Sarmiento,27,7,9,11,23,26,30
20,Union,27,6,12,9,19,25,30
21,Banfield,27,7,9,11,21,32,30
22,Gimnasia,27,7,9,11,24,38,30
23,Central Cordoba,27,7,8,12,20,30,29
24,Independiente,27,6,10,11,23,32,28
25,Velez,27,5,12,10,24,27,27
26,Huracan,27,6,7,14,18,29,25
27,Colon,27,4.13.10.20.33.25
28,Arsenal,27,6,4,17,18,34,22
