1,San Martin (Burzaco),24,14,6,4,39,21,48
2,Midland,23,13,5,5,37,25,44
3,Claypole,24,12,7,5,30,15,43
4,Liniers,23,12,5,6,28,20,41
5,JJ Urquiza,23,12,3,8,28,20,39
6,Atlas,24,10,7,7,34,25,37
7,Excursionistas,24,10,7,7,23,25,37
8,Sportivo Italiano,24,10,6,8,24,22,36
9,Deportivo Laferrere,24,10,4,10,25,20,34
10,Lujan,24,9,7,8,19,15,34
11,Deportivo Espanol,24,9,7,8,27,24,34
12,General Lamadrid,24,9,6,9,31,35,33
13,Berazategui,24,8,5,11,21,25,29
14,Central Cordoba (Rosario),23,7,7,9,20,24,28
15,Puerto Nuevo,23,6,6,11,20,29,24
16,Real Pilar,24,5,7,12,20,31,22
17,Leandro N. Alem,24,6,4,14,16,29,22
18,Victoriano Arenas,24,3,8,13,18,38,17
19,Yupanqui,23,4,5,14,14,40,17
