1,San Miguel,24,12,7,5,31,17,43
2,Talleres (RE),23,10,7,6,20,16,37
3,Comunicaciones,23,9,8,6,30,27,35
4,Los Andes,24,8,10,6,26,16,34
5,Dock Sud,23,9,7,7,30,27,34
6,Acassuso,23,7,12,4,18,15,33
7,Villa San Carlos,24,8,9,7,29,28,33
8,Argentino (Q),23,9,6,8,22,25,33
9,Deportivo Armenio,23,7,10,6,26,21,31
10,UAI Urquiza,24,8,7,9,24,23,31
11,Argentino (M),22,8,6,8,23,17,30
12,Fenix,22,8,4,10,19,21,28
13,Sacachispas,23,6,10,7,15,17,28
14,Colegiales,24,7,7,10,21,27,28
15,Canuelas,24,4,11,9,17,27,23
16,Merlo,22,5,7,10,17,34,22
17,Ituzaingo,23,4,8,11,11,21,20
