1,Chacarita,24,13,9,2,35,14,48
2,Deportivo Maipu,24,15,3,6,37,23,48
3,Independiente Rivadavia,24,14,5,5,41,27,47
4,Atletico Rafaela,24,11,7,6,26,21,40
5,Quilmes,24,11,6,7,28,21,39
6,Deportivo Riestra,24,9,10,5,33,29,37
7,Ferro,24,10,6,8,31,24,36
8,Brown de Adrogue,24,7,12,5,23,19,33
9,Deportivo Madryn,24,9,6,9,21,21,33
10,Atlanta,24,8,8,8,39,38,32
11,Mitre (SdE),24,9,5,10,21,26,32
12,Estudiantes (BsAs),24,7,7,10,25,29,28
13,Aldosivi,24,8,4,12,30,35,28
14,Gimnasia (J),24,8,4,12,24,31,28
15,Racing (C),24,5,9,10,28,31,24
16,Tristan Suarez,24,5,6,13,26,42,21
17,Chaco For Ever,24,5,5,14,16,31,20
18,Villa Dalmine,24,4,4,16,15,37,16
