1,Velez II,24,18,5,1,51,14,59
2,Belgrano II,24,15,3,6,33,18,48
3,Racing II,24,14,4,6,30,23,46
4,River Plate II,24,14,2,8,39,29,44
5,Argentinos Juniors II,24,12,5,7,38,21,41
6,Talleres II,24,12,4,8,37,34,40
7,Rosario Central II,24,11,6,7,43,33,39
8,San Lorenzo II,24,11,6,7,26,23,39
9,Lanus II,24,12,2,10,31,28,38
10,Estudiantes II,24,11,4,9,32,21,37
11,Independiente II,24,10,7,7,36,26,37
12,Tigre II,24,11,4,9,32,24,37
13,Newells II,24,9,7,8,26,17,34
14,Boca Juniors II,24,8,10,6,21,18,34
15,Huracan II,24,8,8,8,30,29,32
16,Defensa y Justicia II,24,9,4,11,37,37,31
17,Banfield II,24,8,7,9,27,36,31
18,Colon II,24,9,4,11,21,30,31
19,Instituto II,24,8,4,12,25,31,28
20,Central Cordoba II,24,8,4,12,31,46,28
21,Arsenal II,24,7,5,12,25,28,26
22,Union II,24,6,7,11,30,40,25
23,Gimnasia II,24,7,4,13,20,32,25
24,Atletico Tucuman II,24,6,6,12,26,41,24
25,Sarmiento II,24,5,8,11,21,29,23
26,Platense II,24,5,8,11,21,38,23
27,Barracas II,24,4,8,12,21,35,20
28,Godoy Cruz II,24,3,4,17,18,47,13
