1,Shanghai Port,18,13,4,1,35,14,43
2,Shanghai Shenhua,18,10,5,3,20,14,35
3,Chengdu Rongcheng,18,9,6,3,30,19,33
4,Shandong Taishan,18,7,8,3,28,17,29
5,Tianjin Jinmen Tiger,18,6,11,1,25,19,29
6,Beijing Guoan,18,7,7,4,32,23,28
7,Changchun Yatai,18,7,5,6,31,30,26
8,Zhejiang Professional,18,7,4,7,27,25,25
9,Wuhan Three Towns,17,5,9,3,26,19,24
10,Cangzhou,18,5,6,7,21,29,21
11,Qingdao Hainiu,18,4,4,10,22,24,16
12,Meizhou Hakka,17,4,4,9,24,360,16
13,Henan Songshan Longmen,18,3,7,8,14,22,16
14,Nantong Zhiyun,18,2,8,8,14,24,14
15,Dalian Pro,18,1,9,8,14,24,12
16,Shenzhen,18,3,3,12,18,48,12
