1,Machida,26,16,6,4,43,20,54
2,Iwata,27,13,9,5,48,30,48
3,Verdy,27,14,6,7,38,21,48
4,Kofu,27,14,4,9,42,30,46
5,Oita Trinita,27,13,6,8,34,34,45
6,Shimizu S-Pulse,27,11,10,6,51,24,43
7,V-Varen Nagasaki,27,12,6,9,42,34,42
8,Kusatsu,27,10,10,7,32,28,40
9,Fujieda MYFC,27,10,6,11,40,48,36
10,Okayama,26,7,14,5,32,26,35
11,Montedio Yamagata,,11,2,14,44,39,35
12,JEF United,27,9,8,10,29,35,35
13,Blaublitz,26,9,8,9,23,29,35
14,Kumamoto,26,8,8,10,34,29,32
15,Vegalta Sendai,27,8,8,11,34,39,32
16,Mito,27,8,7,12,33,46,31
17,Iwaki,27,8,7,12,27,43,31
18,Renofa Yamaguchi,27,7,10,10,22,40,31
19,Tochigi SC,27,6,10,11,23,28,28
20,Tokushima,27,5,13,9,25,36,28
21,Kanazawa,27,8,4,15,31,45,28
22,Omiya Ardija,27,5,4,18,23,46,19
