1,River Plate,24,17,3,4,42,12,54
2,Talleres,24,13,16,5,38,20,43
3,San Lorenzo,24,11,10,3,22,9,43
4,Lanus,24,11,8,5,33,23,41
5,Defensa Y Justicia,24,11,7,6,31,19,40
6,Estudiantes,24,10,9,5,27,19,39
7,Rosario Central,24,10,9,5,31,25,39
8,Godoy Cruz,24,10,7,7,31,26,37
9,Boca Juniors,24,10,5,9,26,22,35
10,Belgrano,24,10,5,9,20,21,35
11,Argentinos Juniors,21,9,7,8,26,19,34
12,Newells,24,8,9,7,22,21,33
13,Racing,24,8,8,8,31,31,32
14,Platense,24,9,5,10,25,27,32
15,Barracas,24,7,10,7,24,28,31
16,Atletico Tucuman,24,7,9,8,22,27,30
17,Central Cordoba,24,7,8,9,19,24,29
17,Sarmiento,24,7,7,10,22,22,28
19,Tigre,24,7,7,10,22,27,28
20,Gimnasia,24,7,7,10,20,32,28
21,Instituto,24,6,8,10,18,30,26
22,Velez,24,5,10,9,23,25,25
23,Independiente,24,5,10,9,22,29,25
24,Colon,24,4,13,7,19,27,25
25,Union,24,5,10,9,17,25,25
26,Banfield,24,6,7,11,17,30,25
27,Huracan,24,4,7,13,16,28,19
28,Arsenal,24,5,3,16,16,32,18
