1,Avondale FC,23,19,3,1,74,21,60
2,South Melbourne,22,18,2,2,46,16,56
3,Oakleigh Cannons,23,16,3,4,55,23,51
4,Melbourne Knights,23,12,5,6,43,29,41
5,Port Melbourne Sharks,23,12,4,7,46,31,40
6,Altona Magic,23,13,2,9,46,45,28
7,Green Gully,23,12,1,10,50,37,37
8,Dandenong Thunder,23,9,3,11,44,42,30
9,Hume City,23,6,6,11,30,33,24
10,Heidelberg United,22,5,7,10,23,40,22
11,St Albans,23,4,4,15,21,51,16
12,Bentleigh Greens,23,4,2,17,21,46,14
13,North Geelong,23,4,2,17,16,63,14
14,Moreland City,23,3,4,16,24,62,13
