1,Kingston City,23,12,5,6,46,31,41
2,Dandenong City,23,12,4,7,37,27,40
3,Western United II,23,11,3,9,37,27,36
4,Manningham United Blues,23,9,8,6,45,40,35
5,Preston Lions,23,9,8,6,33,30,35
6,Northcote City,23,10,3,9,35,30,33
7,Melbourne City II,23,10,3,10,46,44,33
8,Eastern Lions,22,10,3,9,32,35,33
9,Bulleen Lions,23,9,3,11,42,35,30
10,Brunswick City,23,9,3,11,31,39,30
11,Langwarrin,23,9,2,12,43,54,29
12,Werribee City,23,7,6,10,37,43,27
13,Moreland Zebras,23,7,5,11,21,31,26
14,Pascoe Vale,23,7,2,14,32,51,23
