1,Gold Coast United - U23,18,13,2,3,34,21,41
2,Lions - U23,18,11,3,4,40,24,36
3,Gold Coast Knights - U23,17,11,2,4,52,23,35
4,Moreton Bay United - U23,18,11,2,5,41,23,35
5,Peninsula Power - U23,18,10,5,3,37,26,35
6,SC Wanderers - U23,18,8,2,8,47,51,26
7,Olympic - U23,17,6,3,8,26,31,21
8,Brisbane Roar - U23,18,6,2,10,34,36,20
9,Brisbane City - U23,18,5,1,12,39,53,16
10,Rochedale Rovers - U23,18,5,1,12,28,46,16
11,Redlands United - U23,18,4,2,12,27,57,14
12,Eastern Suburbs - U23,18,4,1,13,21,35,13
